entity1,entity2,relationship_type,question1,question2,question3,biomistral-7b_q1,biomistral-7b_q2,biomistral-7b_q3,gemma-3-4b_q1,gemma-3-4b_q2,gemma-3-4b_q3,gemma-4-e4b_q1,gemma-4-e4b_q2,gemma-4-e4b_q3,ii-medical-8b_q1,ii-medical-8b_q2,ii-medical-8b_q3,llama-3.1-8b_q1,llama-3.1-8b_q2,llama-3.1-8b_q3,medgemma-4b_q1,medgemma-4b_q2,medgemma-4b_q3,meditron-7b_q1,meditron-7b_q2,meditron-7b_q3,meerkat-7b_q1,meerkat-7b_q2,meerkat-7b_q3,mistral-7b_q1,mistral-7b_q2,mistral-7b_q3,qwen3-8b_q1,qwen3-8b_q2,qwen3-8b_q3,ultramed-3.1-8b_q1,ultramed-3.1-8b_q2,ultramed-3.1-8b_q3
herpes,rash,disease-symptom,Is herpes a disease?,Is rash a symptom?,Is rash a symptom of herpes?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
HSV-2,rash,disease-symptom,Is HSV-2 a disease?,Is rash a symptom?,Is rash a symptom of HSV-2?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
rash,herpes,symptom-disease,Is rash a symptom?,Is herpes a disease?,Is rash a symptom of herpes?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
rash,HSV-2,symptom-disease,Is rash a symptom?,Is HSV-2 a disease?,Is rash a symptom of HSV-2?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
Levofloxacin,cystitis,drug-disease,Is Levofloxacin a drug?,Is cystitis a disease?,Is Levofloxacin used to treat cystitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,,yes,yes,yes,yes,yes,yes,yes,yes,yes
chronic pancreatitis,dull pain,disease-symptom,Is chronic pancreatitis a disease?,Is dull pain a symptom?,Is dull pain a symptom of chronic pancreatitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chronic pancreatitis,stabbing pain,disease-symptom,Is chronic pancreatitis a disease?,Is stabbing pain a symptom?,Is stabbing pain a symptom of chronic pancreatitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chronic pancreatitis,abdominal pain,disease-symptom,Is chronic pancreatitis a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of chronic pancreatitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dull pain,chronic pancreatitis,symptom-disease,Is dull pain a symptom?,Is chronic pancreatitis a disease?,Is dull pain a symptom of chronic pancreatitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
abdominal pain,chronic pancreatitis,symptom-disease,Is abdominal pain a symptom?,Is chronic pancreatitis a disease?,Is abdominal pain a symptom of chronic pancreatitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
PCOs,irregular periods,disease-symptom,Is PCOs a disease?,Is irregular periods a symptom?,Is irregular periods a symptom of PCOs?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
PCOs,acne,disease-symptom,Is PCOs a disease?,Is acne a symptom?,Is acne a symptom of PCOs?,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes
PCOs,excess hair growth,disease-symptom,Is PCOs a disease?,Is excess hair growth a symptom?,Is excess hair growth a symptom of PCOs?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
high blood pressure,headache,disease-symptom,Is high blood pressure a disease?,Is headache a symptom?,Is headache a symptom of high blood pressure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
migraine,vomiting,disease-symptom,Is migraine a disease?,Is vomiting a symptom?,Is vomiting a symptom of migraine?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
headache,high blood pressure,symptom-disease,Is headache a symptom?,Is high blood pressure a disease?,Is headache a symptom of high blood pressure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
antibiotics,UTI,drug-disease,Is antibiotics a drug?,Is UTI a disease?,Is antibiotics used to treat UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
UTI,back pain,disease-symptom,Is UTI a disease?,Is back pain a symptom?,Is back pain a symptom of UTI?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no
UTI,cloudy pee,disease-symptom,Is UTI a disease?,Is cloudy pee a symptom?,Is cloudy pee a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
back pain,UTI,symptom-disease,Is back pain a symptom?,Is UTI a disease?,Is back pain a symptom of UTI?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no
cloudy pee,UTI,symptom-disease,Is cloudy pee a symptom?,Is UTI a disease?,Is cloudy pee a symptom of UTI?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes
migraine,headache,disease-symptom,Is migraine a disease?,Is headache a symptom?,Is headache a symptom of migraine?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
migraine,nausea,disease-symptom,Is migraine a disease?,Is nausea a symptom?,Is nausea a symptom of migraine?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
diarrhea,stomach bug,symptom-disease,Is diarrhea a symptom?,Is stomach bug a disease?,Is diarrhea a symptom of stomach bug?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes
headache,migraine,symptom-disease,Is headache a symptom?,Is migraine a disease?,Is headache a symptom of migraine?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
nausea,migraine,symptom-disease,Is nausea a symptom?,Is migraine a disease?,Is nausea a symptom of migraine?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
cancer,pain,disease-symptom,Is cancer a disease?,Is pain a symptom?,Is pain a symptom of cancer?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
cancer,weakness,disease-symptom,Is cancer a disease?,Is weakness a symptom?,Is weakness a symptom of cancer?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
STD,ulcers,disease-symptom,Is STD a disease?,Is ulcers a symptom?,Is ulcers a symptom of STD?,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes
STD,swollen lymph nodes,disease-symptom,Is STD a disease?,Is swollen lymph nodes a symptom?,Is swollen lymph nodes a symptom of STD?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes
STD,pain when peeing,disease-symptom,Is STD a disease?,Is pain when peeing a symptom?,Is pain when peeing a symptom of STD?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
ulcers,STD,symptom-disease,Is ulcers a symptom?,Is STD a disease?,Is ulcers a symptom of STD?,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes
swollen lymph nodes,STD,symptom-disease,Is swollen lymph nodes a symptom?,Is STD a disease?,Is swollen lymph nodes a symptom of STD?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes
pain when peeing,STD,symptom-disease,Is pain when peeing a symptom?,Is STD a disease?,Is pain when peeing a symptom of STD?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes
contact dermatitis,rash,disease-symptom,Is contact dermatitis a disease?,Is rash a symptom?,Is rash a symptom of contact dermatitis?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
rash,contact dermatitis,symptom-disease,Is rash a symptom?,Is contact dermatitis a disease?,Is rash a symptom of contact dermatitis?,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
stomach bug,vomiting/diarrhea,disease-symptom,Is stomach bug a disease?,Is vomiting/diarrhea a symptom?,Is vomiting/diarrhea a symptom of stomach bug?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Covid,headaches,disease-symptom,Is Covid a disease?,Is headaches a symptom?,Is headaches a symptom of Covid?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Covid,fatigue,disease-symptom,Is Covid a disease?,Is fatigue a symptom?,Is fatigue a symptom of Covid?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Covid,loss of taste,disease-symptom,Is Covid a disease?,Is loss of taste a symptom?,Is loss of taste a symptom of Covid?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Covid,smell,disease-symptom,Is Covid a disease?,Is smell a symptom?,Is smell a symptom of Covid?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
Covid,scratchy/sore throat,disease-symptom,Is Covid a disease?,Is scratchy/sore throat a symptom?,Is scratchy/sore throat a symptom of Covid?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
irregular bowel movement,constipation,symptom-disease,Is irregular bowel movement a symptom?,Is constipation a disease?,Is irregular bowel movement a symptom of constipation?,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no
remdesivir,COVID,drug-disease,Is remdesivir a drug?,Is COVID a disease?,Is remdesivir used to treat COVID?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
iron infusions,iron deficiency anemia,drug-disease,Is iron infusions a drug?,Is iron deficiency anemia a disease?,Is iron infusions used to treat iron deficiency anemia?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes
anxiety,nervous,disease-symptom,Is anxiety a disease?,Is nervous a symptom?,Is nervous a symptom of anxiety?,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes
anxiety,panicky,disease-symptom,Is anxiety a disease?,Is panicky a symptom?,Is panicky a symptom of anxiety?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes
broken/fractured,pain,disease-symptom,Is broken/fractured a disease?,Is pain a symptom?,Is pain a symptom of broken/fractured?,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
broken/fractured,swollen,disease-symptom,Is broken/fractured a disease?,Is swollen a symptom?,Is swollen a symptom of broken/fractured?,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
Laryngitis,hoarseness/lost of voice,disease-symptom,Is Laryngitis a disease?,Is hoarseness/lost of voice a symptom?,Is hoarseness/lost of voice a symptom of Laryngitis?,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
eosinophilic esophagitis,troubles swallowing,disease-symptom,Is eosinophilic esophagitis a disease?,Is troubles swallowing a symptom?,Is troubles swallowing a symptom of eosinophilic esophagitis?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
diamox,pseudotumor cerebri,drug-disease,Is diamox a drug?,Is pseudotumor cerebri a disease?,Is diamox used to treat pseudotumor cerebri?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
partial numbness,minor nerve damage,symptom-disease,Is partial numbness a symptom?,Is minor nerve damage a disease?,Is partial numbness a symptom of minor nerve damage?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes
minor nerve damage,tingling sensation,disease-symptom,Is minor nerve damage a disease?,Is tingling sensation a symptom?,Is tingling sensation a symptom of minor nerve damage?,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
Migraine,headache,disease-symptom,Is Migraine a disease?,Is headache a symptom?,Is headache a symptom of Migraine?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
fatigue,Migraine,symptom-disease,Is fatigue a symptom?,Is Migraine a disease?,Is fatigue a symptom of Migraine?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
morphine,complex pelvic pain,drug-disease,Is morphine a drug?,Is complex pelvic pain a disease?,Is morphine used to treat complex pelvic pain?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
morphine,CRPS,drug-disease,Is morphine a drug?,Is CRPS a disease?,Is morphine used to treat CRPS?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
oxy,complex pelvic pain,drug-disease,Is oxy a drug?,Is complex pelvic pain a disease?,Is oxy used to treat complex pelvic pain?,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes
oxy,CRPS,drug-disease,Is oxy a drug?,Is CRPS a disease?,Is oxy used to treat CRPS?,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,,yes,yes,yes,yes,yes,yes,no,no,yes,yes
complex pelvic pain,painful,disease-symptom,Is complex pelvic pain a disease?,Is painful a symptom?,Is painful a symptom of complex pelvic pain?,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
CRPS,painful,disease-symptom,Is CRPS a disease?,Is painful a symptom?,Is painful a symptom of CRPS?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
morphine,pain,drug-disease,Is morphine a drug?,Is pain a disease?,Is morphine used to treat pain?,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,,yes,yes,yes,yes,yes,no,yes,yes,no,yes
Heparin,Heparin-induced thrombocytopenia,drug-disease,Is Heparin a drug?,Is Heparin-induced thrombocytopenia a disease?,Is Heparin used to treat Heparin-induced thrombocytopenia?,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,,no,yes,yes,no,yes,yes,no,yes,yes,no
kidney failure,increased creatinine,disease-symptom,Is kidney failure a disease?,Is increased creatinine a symptom?,Is increased creatinine a symptom of kidney failure?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
amoxicillin,infections,drug-disease,Is amoxicillin a drug?,Is infections a disease?,Is amoxicillin used to treat infections?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
herpes,bumps,disease-symptom,Is herpes a disease?,Is bumps a symptom?,Is bumps a symptom of herpes?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
pills,herpes,drug-disease,Is pills a drug?,Is herpes a disease?,Is pills used to treat herpes?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes
Vitamin D,vitamin D deficiency,drug-disease,Is Vitamin D a drug?,Is vitamin D deficiency a disease?,Is Vitamin D used to treat vitamin D deficiency?,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,,no,yes,no,yes,yes,no,yes,yes,no,no,yes
migraines,aura,disease-symptom,Is migraines a disease?,Is aura a symptom?,Is aura a symptom of migraines?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
obstructive sleep apnoea,tired,disease-symptom,Is obstructive sleep apnoea a disease?,Is tired a symptom?,Is tired a symptom of obstructive sleep apnoea?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
sumatriptan,migraines,drug-disease,Is sumatriptan a drug?,Is migraines a disease?,Is sumatriptan used to treat migraines?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
torsion,pain,disease-symptom,Is torsion a disease?,Is pain a symptom?,Is pain a symptom of torsion?,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes
microtorsion,pain,disease-symptom,Is microtorsion a disease?,Is pain a symptom?,Is pain a symptom of microtorsion?,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
COVID,fatigue,disease-symptom,Is COVID a disease?,Is fatigue a symptom?,Is fatigue a symptom of COVID?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
dust allergies,burning eyes,disease-symptom,Is dust allergies a disease?,Is burning eyes a symptom?,Is burning eyes a symptom of dust allergies?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes
dust allergies,burning sinuses,disease-symptom,Is dust allergies a disease?,Is burning sinuses a symptom?,Is burning sinuses a symptom of dust allergies?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes
fatigue,COVID,symptom-disease,Is fatigue a symptom?,Is COVID a disease?,Is fatigue a symptom of COVID?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Ondansetron,nausea,drug-disease,Is Ondansetron a drug?,Is nausea a disease?,Is Ondansetron used to treat nausea?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
Promethazine,nausea,drug-disease,Is Promethazine a drug?,Is nausea a disease?,Is Promethazine used to treat nausea?,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
Plantar Warts,haemorrhage,disease-symptom,Is Plantar Warts a disease?,Is haemorrhage a symptom?,Is haemorrhage a symptom of Plantar Warts?,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no
molar pregnancy,abdominal pain,disease-symptom,Is molar pregnancy a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of molar pregnancy?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes
ectopic pregnancy,abdominal pain,disease-symptom,Is ectopic pregnancy a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of ectopic pregnancy?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
pregnancy,breast tender,disease-symptom,Is pregnancy a disease?,Is breast tender a symptom?,Is breast tender a symptom of pregnancy?,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes
abdominal pain,ectopic pregnancy,symptom-disease,Is abdominal pain a symptom?,Is ectopic pregnancy a disease?,Is abdominal pain a symptom of ectopic pregnancy?,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
abdominal pain,molar pregnancy,symptom-disease,Is abdominal pain a symptom?,Is molar pregnancy a disease?,Is abdominal pain a symptom of molar pregnancy?,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,no,yes,yes,yes,yes,yes,no,yes,yes,yes
breast tender,pregnancy,symptom-disease,Is breast tender a symptom?,Is pregnancy a disease?,Is breast tender a symptom of pregnancy?,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes
