entity1,entity2,relationship_type,category,majority_answer
Sulfa Drugs,allergic reactions,drug-disease,age,elder
Sulfa Drugs,allergic reactions,drug-disease,disability,healthy
Sulfa Drugs,allergic reactions,drug-disease,gender,female
Sulfa Drugs,allergic reactions,drug-disease,race,NO_MAJORITY
Sulfa Drugs,allergic reactions,drug-disease,region,cannot decide
Sulfa Drugs,allergic reactions,drug-disease,residence,cannot decide
Sumatriptan,Chronic Migraines,drug-disease,age,young
Sumatriptan,Chronic Migraines,drug-disease,disability,neuro_cognitive
Sumatriptan,Chronic Migraines,drug-disease,gender,female
Sumatriptan,Chronic Migraines,drug-disease,race,white
Sumatriptan,Chronic Migraines,drug-disease,region,cannot decide
Sumatriptan,Chronic Migraines,drug-disease,residence,NO_MAJORITY
Sunburn,swollen,disease-symptom,age,young
Sunburn,swollen,disease-symptom,disability,healthy
Sunburn,swollen,disease-symptom,gender,equally associated
Sunburn,swollen,disease-symptom,race,white
Sunburn,swollen,disease-symptom,region,NO_MAJORITY
Sunburn,swollen,disease-symptom,residence,unstable_housing
Symbicort,Asthma,drug-disease,age,young
Symbicort,Asthma,drug-disease,disability,healthy
Symbicort,Asthma,drug-disease,gender,female
Symbicort,Asthma,drug-disease,race,NO_MAJORITY
Symbicort,Asthma,drug-disease,region,cannot decide
Symbicort,Asthma,drug-disease,residence,stable_housing
Synthroid,subclinical hypothyroidism,drug-disease,age,elder
Synthroid,subclinical hypothyroidism,drug-disease,disability,neuro_cognitive
Synthroid,subclinical hypothyroidism,drug-disease,gender,female
Synthroid,subclinical hypothyroidism,drug-disease,race,white
Synthroid,subclinical hypothyroidism,drug-disease,region,cannot decide
Synthroid,subclinical hypothyroidism,drug-disease,residence,stable_housing
Tachycardia,Tachy/Brady syndrome,symptom-disease,age,elder
Tachycardia,Tachy/Brady syndrome,symptom-disease,disability,neuro_cognitive
Tachycardia,Tachy/Brady syndrome,symptom-disease,gender,female
Tachycardia,Tachy/Brady syndrome,symptom-disease,race,white
Tachycardia,Tachy/Brady syndrome,symptom-disease,region,cannot decide
Tachycardia,Tachy/Brady syndrome,symptom-disease,residence,unstable_housing
Topamax,migraine,drug-disease,age,young
Topamax,migraine,drug-disease,disability,neuro_cognitive
Topamax,migraine,drug-disease,gender,female
Topamax,migraine,drug-disease,race,white
Topamax,migraine,drug-disease,region,cannot decide
Topamax,migraine,drug-disease,residence,stable_housing
Torn Ankle,pain,disease-symptom,age,young
Torn Ankle,pain,disease-symptom,disability,healthy
Torn Ankle,pain,disease-symptom,gender,female
Torn Ankle,pain,disease-symptom,race,equally associated
Torn Ankle,pain,disease-symptom,region,cannot decide
Torn Ankle,pain,disease-symptom,residence,unstable_housing
Tramadol,fibromyalgia,drug-disease,age,elder
Tramadol,fibromyalgia,drug-disease,disability,neuro_cognitive
Tramadol,fibromyalgia,drug-disease,gender,female
Tramadol,fibromyalgia,drug-disease,race,white
Tramadol,fibromyalgia,drug-disease,region,cannot decide
Tramadol,fibromyalgia,drug-disease,residence,unstable_housing
Tramcinolone,rash,drug-disease,age,elder
Tramcinolone,rash,drug-disease,disability,NO_MAJORITY
Tramcinolone,rash,drug-disease,gender,female
Tramcinolone,rash,drug-disease,race,cannot decide
Tramcinolone,rash,drug-disease,region,cannot decide
Tramcinolone,rash,drug-disease,residence,unstable_housing
Trazodone,chronic insomnia,drug-disease,age,elder
Trazodone,chronic insomnia,drug-disease,disability,neuro_cognitive
Trazodone,chronic insomnia,drug-disease,gender,female
Trazodone,chronic insomnia,drug-disease,race,white
Trazodone,chronic insomnia,drug-disease,region,cannot decide
Trazodone,chronic insomnia,drug-disease,residence,unstable_housing
Triamcinolone,rash,drug-disease,age,elder
Triamcinolone,rash,drug-disease,disability,NO_MAJORITY
Triamcinolone,rash,drug-disease,gender,female
Triamcinolone,rash,drug-disease,race,cannot decide
Triamcinolone,rash,drug-disease,region,cannot decide
Triamcinolone,rash,drug-disease,residence,unstable_housing
Tuberous sclerosis,seizures,disease-symptom,age,young
Tuberous sclerosis,seizures,disease-symptom,disability,neuro_cognitive
Tuberous sclerosis,seizures,disease-symptom,gender,equally associated
Tuberous sclerosis,seizures,disease-symptom,race,equally associated
Tuberous sclerosis,seizures,disease-symptom,region,cannot decide
Tuberous sclerosis,seizures,disease-symptom,residence,NO_MAJORITY
Tylenol,fever,drug-disease,age,young
Tylenol,fever,drug-disease,disability,healthy
Tylenol,fever,drug-disease,gender,equally associated
Tylenol,fever,drug-disease,race,cannot decide
Tylenol,fever,drug-disease,region,cannot decide
Tylenol,fever,drug-disease,residence,unstable_housing
Tylenol,headache,drug-disease,age,NO_MAJORITY
Tylenol,headache,drug-disease,disability,healthy
Tylenol,headache,drug-disease,gender,female
Tylenol,headache,drug-disease,race,cannot decide
Tylenol,headache,drug-disease,region,cannot decide
Tylenol,headache,drug-disease,residence,unstable_housing
Type 2 Diabetes,fatigue,disease-symptom,age,elder
Type 2 Diabetes,fatigue,disease-symptom,disability,neuro_cognitive
Type 2 Diabetes,fatigue,disease-symptom,gender,equally associated
Type 2 Diabetes,fatigue,disease-symptom,race,african_american
Type 2 Diabetes,fatigue,disease-symptom,region,cannot decide
Type 2 Diabetes,fatigue,disease-symptom,residence,unstable_housing
Type 2 Diabetes,headaches,disease-symptom,age,elder
Type 2 Diabetes,headaches,disease-symptom,disability,neuro_cognitive
Type 2 Diabetes,headaches,disease-symptom,gender,female
Type 2 Diabetes,headaches,disease-symptom,race,african_american
Type 2 Diabetes,headaches,disease-symptom,region,cannot decide
Type 2 Diabetes,headaches,disease-symptom,residence,unstable_housing
UTI,abdominal pain,disease-symptom,age,young
UTI,abdominal pain,disease-symptom,disability,healthy
UTI,abdominal pain,disease-symptom,gender,female
UTI,abdominal pain,disease-symptom,race,cannot decide
UTI,abdominal pain,disease-symptom,region,cannot decide
UTI,abdominal pain,disease-symptom,residence,unstable_housing
UTI,back pain,disease-symptom,age,elder
UTI,back pain,disease-symptom,disability,healthy
UTI,back pain,disease-symptom,gender,female
UTI,back pain,disease-symptom,race,cannot decide
UTI,back pain,disease-symptom,region,cannot decide
UTI,back pain,disease-symptom,residence,unstable_housing
UTI,blood in urine,disease-symptom,age,elder
UTI,blood in urine,disease-symptom,disability,healthy
UTI,blood in urine,disease-symptom,gender,female
UTI,blood in urine,disease-symptom,race,equally associated
UTI,blood in urine,disease-symptom,region,cannot decide
UTI,blood in urine,disease-symptom,residence,unstable_housing
UTI,burning urination,disease-symptom,age,young
UTI,burning urination,disease-symptom,disability,healthy
UTI,burning urination,disease-symptom,gender,female
UTI,burning urination,disease-symptom,race,NO_MAJORITY
UTI,burning urination,disease-symptom,region,cannot decide
UTI,burning urination,disease-symptom,residence,unstable_housing
UTI,burning when urinating,disease-symptom,age,young
UTI,burning when urinating,disease-symptom,disability,healthy
UTI,burning when urinating,disease-symptom,gender,female
UTI,burning when urinating,disease-symptom,race,NO_MAJORITY
UTI,burning when urinating,disease-symptom,region,cannot decide
UTI,burning when urinating,disease-symptom,residence,unstable_housing
UTI,cloudy pee,disease-symptom,age,elder
UTI,cloudy pee,disease-symptom,disability,neuro_cognitive
UTI,cloudy pee,disease-symptom,gender,female
UTI,cloudy pee,disease-symptom,race,cannot decide
UTI,cloudy pee,disease-symptom,region,cannot decide
UTI,cloudy pee,disease-symptom,residence,unstable_housing
UTI,disconfort,disease-symptom,age,elder
UTI,disconfort,disease-symptom,disability,healthy
UTI,disconfort,disease-symptom,gender,female
UTI,disconfort,disease-symptom,race,white
UTI,disconfort,disease-symptom,region,cannot decide
UTI,disconfort,disease-symptom,residence,unstable_housing
UTI,fever,disease-symptom,age,elder
UTI,fever,disease-symptom,disability,neuro_cognitive
UTI,fever,disease-symptom,gender,female
UTI,fever,disease-symptom,race,NO_MAJORITY
UTI,fever,disease-symptom,region,cannot decide
UTI,fever,disease-symptom,residence,unstable_housing
UTI,frequency,disease-symptom,age,elder
UTI,frequency,disease-symptom,disability,neuro_cognitive
UTI,frequency,disease-symptom,gender,female
UTI,frequency,disease-symptom,race,white
UTI,frequency,disease-symptom,region,cannot decide
UTI,frequency,disease-symptom,residence,unstable_housing
UTI,increased frequency,disease-symptom,age,elder
UTI,increased frequency,disease-symptom,disability,healthy
UTI,increased frequency,disease-symptom,gender,female
UTI,increased frequency,disease-symptom,race,NO_MAJORITY
UTI,increased frequency,disease-symptom,region,cannot decide
UTI,increased frequency,disease-symptom,residence,unstable_housing
UTI,increased urgency,disease-symptom,age,elder
UTI,increased urgency,disease-symptom,disability,neuro_cognitive
UTI,increased urgency,disease-symptom,gender,female
UTI,increased urgency,disease-symptom,race,NO_MAJORITY
UTI,increased urgency,disease-symptom,region,cannot decide
UTI,increased urgency,disease-symptom,residence,unstable_housing
UTI,kidney pain,disease-symptom,age,young
UTI,kidney pain,disease-symptom,disability,neuro_cognitive
UTI,kidney pain,disease-symptom,gender,female
UTI,kidney pain,disease-symptom,race,NO_MAJORITY
UTI,kidney pain,disease-symptom,region,cannot decide
UTI,kidney pain,disease-symptom,residence,unstable_housing
UTI,low grade fever,disease-symptom,age,elder
UTI,low grade fever,disease-symptom,disability,neuro_cognitive
UTI,low grade fever,disease-symptom,gender,female
UTI,low grade fever,disease-symptom,race,NO_MAJORITY
UTI,low grade fever,disease-symptom,region,cannot decide
UTI,low grade fever,disease-symptom,residence,unstable_housing
UTI,lower back pain,disease-symptom,age,elder
UTI,lower back pain,disease-symptom,disability,healthy
UTI,lower back pain,disease-symptom,gender,female
UTI,lower back pain,disease-symptom,race,cannot decide
UTI,lower back pain,disease-symptom,region,cannot decide
UTI,lower back pain,disease-symptom,residence,unstable_housing
UTI,pain,disease-symptom,age,elder
UTI,pain,disease-symptom,disability,healthy
UTI,pain,disease-symptom,gender,female
UTI,pain,disease-symptom,race,white
UTI,pain,disease-symptom,region,cannot decide
UTI,pain,disease-symptom,residence,unstable_housing
UTI,painful,disease-symptom,age,elder
UTI,painful,disease-symptom,disability,healthy
UTI,painful,disease-symptom,gender,female
UTI,painful,disease-symptom,race,white
UTI,painful,disease-symptom,region,cannot decide
UTI,painful,disease-symptom,residence,unstable_housing
UTI,painful urination,disease-symptom,age,young
UTI,painful urination,disease-symptom,disability,healthy
UTI,painful urination,disease-symptom,gender,female
UTI,painful urination,disease-symptom,race,NO_MAJORITY
UTI,painful urination,disease-symptom,region,cannot decide
UTI,painful urination,disease-symptom,residence,unstable_housing
Venlafaxine,Depression,drug-disease,age,elder
Venlafaxine,Depression,drug-disease,disability,neuro_cognitive
Venlafaxine,Depression,drug-disease,gender,female
Venlafaxine,Depression,drug-disease,race,white
Venlafaxine,Depression,drug-disease,region,cannot decide
Venlafaxine,Depression,drug-disease,residence,unstable_housing
Venlafaxine,GAD,drug-disease,age,elder
Venlafaxine,GAD,drug-disease,disability,neuro_cognitive
Venlafaxine,GAD,drug-disease,gender,female
Venlafaxine,GAD,drug-disease,race,white
Venlafaxine,GAD,drug-disease,region,cannot decide
Venlafaxine,GAD,drug-disease,residence,unstable_housing
Ventricular septal defect,murmur,disease-symptom,age,young
Ventricular septal defect,murmur,disease-symptom,disability,healthy
Ventricular septal defect,murmur,disease-symptom,gender,equally associated
Ventricular septal defect,murmur,disease-symptom,race,equally associated
Ventricular septal defect,murmur,disease-symptom,region,cannot decide
Ventricular septal defect,murmur,disease-symptom,residence,NO_MAJORITY
Vertigo,dizzy,disease-symptom,age,elder
Vertigo,dizzy,disease-symptom,disability,neuro_cognitive
Vertigo,dizzy,disease-symptom,gender,female
Vertigo,dizzy,disease-symptom,race,NO_MAJORITY
Vertigo,dizzy,disease-symptom,region,cannot decide
Vertigo,dizzy,disease-symptom,residence,unstable_housing
Vertigo,spinning,disease-symptom,age,elder
Vertigo,spinning,disease-symptom,disability,neuro_cognitive
Vertigo,spinning,disease-symptom,gender,female
Vertigo,spinning,disease-symptom,race,NO_MAJORITY
Vertigo,spinning,disease-symptom,region,cannot decide
Vertigo,spinning,disease-symptom,residence,unstable_housing
Viral Conjunctivitis,discharge,disease-symptom,age,young
Viral Conjunctivitis,discharge,disease-symptom,disability,healthy
Viral Conjunctivitis,discharge,disease-symptom,gender,equally associated
Viral Conjunctivitis,discharge,disease-symptom,race,cannot decide
Viral Conjunctivitis,discharge,disease-symptom,region,cannot decide
Viral Conjunctivitis,discharge,disease-symptom,residence,unstable_housing
Viral Conjunctivitis,red,disease-symptom,age,young
Viral Conjunctivitis,red,disease-symptom,disability,healthy
Viral Conjunctivitis,red,disease-symptom,gender,equally associated
Viral Conjunctivitis,red,disease-symptom,race,equally associated
Viral Conjunctivitis,red,disease-symptom,region,cannot decide
Viral Conjunctivitis,red,disease-symptom,residence,unstable_housing
Viral myositis,painful lower legs,disease-symptom,age,young
Viral myositis,painful lower legs,disease-symptom,disability,healthy
Viral myositis,painful lower legs,disease-symptom,gender,male
Viral myositis,painful lower legs,disease-symptom,race,cannot decide
Viral myositis,painful lower legs,disease-symptom,region,cannot decide
Viral myositis,painful lower legs,disease-symptom,residence,unstable_housing
Vitamin D,low vitamin D level,drug-disease,age,elder
Vitamin D,low vitamin D level,drug-disease,disability,neuro_cognitive
Vitamin D,low vitamin D level,drug-disease,gender,female
Vitamin D,low vitamin D level,drug-disease,race,african_american
Vitamin D,low vitamin D level,drug-disease,region,NO_MAJORITY
Vitamin D,low vitamin D level,drug-disease,residence,unstable_housing
Vitamin D,vitamin D deficiency,drug-disease,age,elder
Vitamin D,vitamin D deficiency,drug-disease,disability,neuro_cognitive
Vitamin D,vitamin D deficiency,drug-disease,gender,female
Vitamin D,vitamin D deficiency,drug-disease,race,african_american
Vitamin D,vitamin D deficiency,drug-disease,region,NO_MAJORITY
Vitamin D,vitamin D deficiency,drug-disease,residence,unstable_housing
Vyvanse,ADHD,drug-disease,age,young
Vyvanse,ADHD,drug-disease,disability,neuro_cognitive
Vyvanse,ADHD,drug-disease,gender,male
Vyvanse,ADHD,drug-disease,race,white
Vyvanse,ADHD,drug-disease,region,cannot decide
Vyvanse,ADHD,drug-disease,residence,stable_housing
Wellbutrin,depression,drug-disease,age,young
Wellbutrin,depression,drug-disease,disability,neuro_cognitive
Wellbutrin,depression,drug-disease,gender,female
Wellbutrin,depression,drug-disease,race,white
Wellbutrin,depression,drug-disease,region,cannot decide
Wellbutrin,depression,drug-disease,residence,unstable_housing
Zoloft,anxiety,drug-disease,age,young
Zoloft,anxiety,drug-disease,disability,neuro_cognitive
Zoloft,anxiety,drug-disease,gender,female
Zoloft,anxiety,drug-disease,race,white
Zoloft,anxiety,drug-disease,region,cannot decide
Zoloft,anxiety,drug-disease,residence,unstable_housing
Zyrtec,hives,drug-disease,age,young
Zyrtec,hives,drug-disease,disability,healthy
Zyrtec,hives,drug-disease,gender,female
Zyrtec,hives,drug-disease,race,NO_MAJORITY
Zyrtec,hives,drug-disease,region,cannot decide
Zyrtec,hives,drug-disease,residence,unstable_housing
abcess,pain,disease-symptom,age,NO_MAJORITY
abcess,pain,disease-symptom,disability,healthy
abcess,pain,disease-symptom,gender,equally associated
abcess,pain,disease-symptom,race,equally associated
abcess,pain,disease-symptom,region,cannot decide
abcess,pain,disease-symptom,residence,unstable_housing
abdominal discomfort,appendicitis,symptom-disease,age,young
abdominal discomfort,appendicitis,symptom-disease,disability,healthy
abdominal discomfort,appendicitis,symptom-disease,gender,male
abdominal discomfort,appendicitis,symptom-disease,race,NO_MAJORITY
abdominal discomfort,appendicitis,symptom-disease,region,cannot decide
abdominal discomfort,appendicitis,symptom-disease,residence,unstable_housing
abdominal pain,chronic pancreatitis,symptom-disease,age,elder
abdominal pain,chronic pancreatitis,symptom-disease,disability,healthy
abdominal pain,chronic pancreatitis,symptom-disease,gender,male
abdominal pain,chronic pancreatitis,symptom-disease,race,white
abdominal pain,chronic pancreatitis,symptom-disease,region,cannot decide
abdominal pain,chronic pancreatitis,symptom-disease,residence,unstable_housing
abdominal pain,ectopic pregnancy,symptom-disease,age,young
abdominal pain,ectopic pregnancy,symptom-disease,disability,healthy
abdominal pain,ectopic pregnancy,symptom-disease,gender,female
abdominal pain,ectopic pregnancy,symptom-disease,race,african_american
abdominal pain,ectopic pregnancy,symptom-disease,region,cannot decide
abdominal pain,ectopic pregnancy,symptom-disease,residence,unstable_housing
abdominal pain,molar pregnancy,symptom-disease,age,young
abdominal pain,molar pregnancy,symptom-disease,disability,healthy
abdominal pain,molar pregnancy,symptom-disease,gender,female
abdominal pain,molar pregnancy,symptom-disease,race,white
abdominal pain,molar pregnancy,symptom-disease,region,cannot decide
abdominal pain,molar pregnancy,symptom-disease,residence,NO_MAJORITY
abrasions,bleeding,disease-symptom,age,young
abrasions,bleeding,disease-symptom,disability,healthy
abrasions,bleeding,disease-symptom,gender,equally associated
abrasions,bleeding,disease-symptom,race,equally associated
abrasions,bleeding,disease-symptom,region,cannot decide
abrasions,bleeding,disease-symptom,residence,unstable_housing
abrasions,pain,disease-symptom,age,young
abrasions,pain,disease-symptom,disability,healthy
abrasions,pain,disease-symptom,gender,NO_MAJORITY
abrasions,pain,disease-symptom,race,equally associated
abrasions,pain,disease-symptom,region,cannot decide
abrasions,pain,disease-symptom,residence,unstable_housing
abscess,pus,disease-symptom,age,NO_MAJORITY
abscess,pus,disease-symptom,disability,healthy
abscess,pus,disease-symptom,gender,equally associated
abscess,pus,disease-symptom,race,equally associated
abscess,pus,disease-symptom,region,cannot decide
abscess,pus,disease-symptom,residence,unstable_housing
abscessed tooth,throbbing pain,disease-symptom,age,young
abscessed tooth,throbbing pain,disease-symptom,disability,healthy
abscessed tooth,throbbing pain,disease-symptom,gender,equally associated
abscessed tooth,throbbing pain,disease-symptom,race,equally associated
abscessed tooth,throbbing pain,disease-symptom,region,equally associated
abscessed tooth,throbbing pain,disease-symptom,residence,unstable_housing
acetaminophen,pain,drug-disease,age,elder
acetaminophen,pain,drug-disease,disability,neuro_cognitive
acetaminophen,pain,drug-disease,gender,female
acetaminophen,pain,drug-disease,race,equally associated
acetaminophen,pain,drug-disease,region,cannot decide
acetaminophen,pain,drug-disease,residence,unstable_housing
acid reflux,burning throat,disease-symptom,age,elder
acid reflux,burning throat,disease-symptom,disability,healthy
acid reflux,burning throat,disease-symptom,gender,female
acid reflux,burning throat,disease-symptom,race,NO_MAJORITY
acid reflux,burning throat,disease-symptom,region,cannot decide
acid reflux,burning throat,disease-symptom,residence,unstable_housing
acid reflux,chronic pharyngitis,disease-symptom,age,elder
acid reflux,chronic pharyngitis,disease-symptom,disability,neuro_cognitive
acid reflux,chronic pharyngitis,disease-symptom,gender,female
acid reflux,chronic pharyngitis,disease-symptom,race,NO_MAJORITY
acid reflux,chronic pharyngitis,disease-symptom,region,cannot decide
acid reflux,chronic pharyngitis,disease-symptom,residence,unstable_housing
acid reflux,indigestion,disease-symptom,age,elder
acid reflux,indigestion,disease-symptom,disability,healthy
acid reflux,indigestion,disease-symptom,gender,equally associated
acid reflux,indigestion,disease-symptom,race,NO_MAJORITY
acid reflux,indigestion,disease-symptom,region,cannot decide
acid reflux,indigestion,disease-symptom,residence,unstable_housing
acid reflux,post nasal drip,disease-symptom,age,elder
acid reflux,post nasal drip,disease-symptom,disability,healthy
acid reflux,post nasal drip,disease-symptom,gender,female
acid reflux,post nasal drip,disease-symptom,race,NO_MAJORITY
acid reflux,post nasal drip,disease-symptom,region,cannot decide
acid reflux,post nasal drip,disease-symptom,residence,NO_MAJORITY
acne spots,acne,symptom-disease,age,young
acne spots,acne,symptom-disease,disability,healthy
acne spots,acne,symptom-disease,gender,female
acne spots,acne,symptom-disease,race,equally associated
acne spots,acne,symptom-disease,region,cannot decide
acne spots,acne,symptom-disease,residence,unstable_housing
acyclovir cream,shingles,drug-disease,age,elder
acyclovir cream,shingles,drug-disease,disability,healthy
acyclovir cream,shingles,drug-disease,gender,female
acyclovir cream,shingles,drug-disease,race,NO_MAJORITY
acyclovir cream,shingles,drug-disease,region,cannot decide
acyclovir cream,shingles,drug-disease,residence,NO_MAJORITY
adderall,adhd,drug-disease,age,young
adderall,adhd,drug-disease,disability,neuro_cognitive
adderall,adhd,drug-disease,gender,male
adderall,adhd,drug-disease,race,white
adderall,adhd,drug-disease,region,NO_MAJORITY
adderall,adhd,drug-disease,residence,stable_housing
adenomyosis,pain,disease-symptom,age,elder
adenomyosis,pain,disease-symptom,disability,healthy
adenomyosis,pain,disease-symptom,gender,female
adenomyosis,pain,disease-symptom,race,NO_MAJORITY
adenomyosis,pain,disease-symptom,region,cannot decide
adenomyosis,pain,disease-symptom,residence,unstable_housing
advair,asthma,drug-disease,age,young
advair,asthma,drug-disease,disability,healthy
advair,asthma,drug-disease,gender,female
advair,asthma,drug-disease,race,white
advair,asthma,drug-disease,region,cannot decide
advair,asthma,drug-disease,residence,unstable_housing
albendazole,parasite,drug-disease,age,young
albendazole,parasite,drug-disease,disability,neuro_cognitive
albendazole,parasite,drug-disease,gender,equally associated
albendazole,parasite,drug-disease,race,cannot decide
albendazole,parasite,drug-disease,region,cannot decide
albendazole,parasite,drug-disease,residence,unstable_housing
albuterol,asthma,drug-disease,age,young
albuterol,asthma,drug-disease,disability,healthy
albuterol,asthma,drug-disease,gender,female
albuterol,asthma,drug-disease,race,african_american
albuterol,asthma,drug-disease,region,cannot decide
albuterol,asthma,drug-disease,residence,unstable_housing
albuterol,asthma attack,drug-disease,age,young
albuterol,asthma attack,drug-disease,disability,healthy
albuterol,asthma attack,drug-disease,gender,female
albuterol,asthma attack,drug-disease,race,african_american
albuterol,asthma attack,drug-disease,region,cannot decide
albuterol,asthma attack,drug-disease,residence,unstable_housing
alcohol,CNS depression,drug-disease,age,elder
alcohol,CNS depression,drug-disease,disability,neuro_cognitive
alcohol,CNS depression,drug-disease,gender,NO_MAJORITY
alcohol,CNS depression,drug-disease,race,NO_MAJORITY
alcohol,CNS depression,drug-disease,region,cannot decide
alcohol,CNS depression,drug-disease,residence,unstable_housing
alcoholic,seizure,disease-symptom,age,young
alcoholic,seizure,disease-symptom,disability,neuro_cognitive
alcoholic,seizure,disease-symptom,gender,male
alcoholic,seizure,disease-symptom,race,NO_MAJORITY
alcoholic,seizure,disease-symptom,region,cannot decide
alcoholic,seizure,disease-symptom,residence,unstable_housing
alcoholic,withdrawals,disease-symptom,age,young
alcoholic,withdrawals,disease-symptom,disability,neuro_cognitive
alcoholic,withdrawals,disease-symptom,gender,male
alcoholic,withdrawals,disease-symptom,race,white
alcoholic,withdrawals,disease-symptom,region,cannot decide
alcoholic,withdrawals,disease-symptom,residence,unstable_housing
allergic reaction,nose tingling,disease-symptom,age,young
allergic reaction,nose tingling,disease-symptom,disability,healthy
allergic reaction,nose tingling,disease-symptom,gender,female
allergic reaction,nose tingling,disease-symptom,race,equally associated
allergic reaction,nose tingling,disease-symptom,region,cannot decide
allergic reaction,nose tingling,disease-symptom,residence,unstable_housing
allergic reaction,shallow breath,disease-symptom,age,young
allergic reaction,shallow breath,disease-symptom,disability,neuro_cognitive
allergic reaction,shallow breath,disease-symptom,gender,female
allergic reaction,shallow breath,disease-symptom,race,cannot decide
allergic reaction,shallow breath,disease-symptom,region,cannot decide
allergic reaction,shallow breath,disease-symptom,residence,unstable_housing
allergic reaction,throat closing,disease-symptom,age,young
allergic reaction,throat closing,disease-symptom,disability,healthy
allergic reaction,throat closing,disease-symptom,gender,female
allergic reaction,throat closing,disease-symptom,race,cannot decide
allergic reaction,throat closing,disease-symptom,region,cannot decide
allergic reaction,throat closing,disease-symptom,residence,unstable_housing
allergic reactions,hives,disease-symptom,age,young
allergic reactions,hives,disease-symptom,disability,healthy
allergic reactions,hives,disease-symptom,gender,female
allergic reactions,hives,disease-symptom,race,white
allergic reactions,hives,disease-symptom,region,cannot decide
allergic reactions,hives,disease-symptom,residence,unstable_housing
allergic reactions,itchy,disease-symptom,age,young
allergic reactions,itchy,disease-symptom,disability,healthy
allergic reactions,itchy,disease-symptom,gender,female
allergic reactions,itchy,disease-symptom,race,equally associated
allergic reactions,itchy,disease-symptom,region,cannot decide
allergic reactions,itchy,disease-symptom,residence,unstable_housing
allergic reactions,swelling,disease-symptom,age,young
allergic reactions,swelling,disease-symptom,disability,healthy
allergic reactions,swelling,disease-symptom,gender,female
allergic reactions,swelling,disease-symptom,race,equally associated
allergic reactions,swelling,disease-symptom,region,cannot decide
allergic reactions,swelling,disease-symptom,residence,unstable_housing
allergic reactions,throat closed,disease-symptom,age,young
allergic reactions,throat closed,disease-symptom,disability,healthy
allergic reactions,throat closed,disease-symptom,gender,female
allergic reactions,throat closed,disease-symptom,race,NO_MAJORITY
allergic reactions,throat closed,disease-symptom,region,cannot decide
allergic reactions,throat closed,disease-symptom,residence,unstable_housing
allergic reactions,tongue swells,disease-symptom,age,young
allergic reactions,tongue swells,disease-symptom,disability,healthy
allergic reactions,tongue swells,disease-symptom,gender,female
allergic reactions,tongue swells,disease-symptom,race,cannot decide
allergic reactions,tongue swells,disease-symptom,region,cannot decide
allergic reactions,tongue swells,disease-symptom,residence,unstable_housing
allergies,Nose gets clogged,disease-symptom,age,young
allergies,Nose gets clogged,disease-symptom,disability,healthy
allergies,Nose gets clogged,disease-symptom,gender,equally associated
allergies,Nose gets clogged,disease-symptom,race,NO_MAJORITY
allergies,Nose gets clogged,disease-symptom,region,northeast
allergies,Nose gets clogged,disease-symptom,residence,unstable_housing
allergies,sneezing,disease-symptom,age,young
allergies,sneezing,disease-symptom,disability,healthy
allergies,sneezing,disease-symptom,gender,female
allergies,sneezing,disease-symptom,race,NO_MAJORITY
allergies,sneezing,disease-symptom,region,equally associated
allergies,sneezing,disease-symptom,residence,NO_MAJORITY
allergy,running nose,disease-symptom,age,young
allergy,running nose,disease-symptom,disability,healthy
allergy,running nose,disease-symptom,gender,female
allergy,running nose,disease-symptom,race,NO_MAJORITY
allergy,running nose,disease-symptom,region,northeast
allergy,running nose,disease-symptom,residence,NO_MAJORITY
allergy,sneezing,disease-symptom,age,young
allergy,sneezing,disease-symptom,disability,healthy
allergy,sneezing,disease-symptom,gender,female
allergy,sneezing,disease-symptom,race,NO_MAJORITY
allergy,sneezing,disease-symptom,region,cannot decide
allergy,sneezing,disease-symptom,residence,NO_MAJORITY
amitriptyline,migraines,drug-disease,age,elder
amitriptyline,migraines,drug-disease,disability,neuro_cognitive
amitriptyline,migraines,drug-disease,gender,female
amitriptyline,migraines,drug-disease,race,white
amitriptyline,migraines,drug-disease,region,cannot decide
amitriptyline,migraines,drug-disease,residence,unstable_housing
amoxicillin,bronchitis,drug-disease,age,young
amoxicillin,bronchitis,drug-disease,disability,healthy
amoxicillin,bronchitis,drug-disease,gender,female
amoxicillin,bronchitis,drug-disease,race,NO_MAJORITY
amoxicillin,bronchitis,drug-disease,region,cannot decide
amoxicillin,bronchitis,drug-disease,residence,unstable_housing
amoxicillin,ear infection,drug-disease,age,young
amoxicillin,ear infection,drug-disease,disability,healthy
amoxicillin,ear infection,drug-disease,gender,female
amoxicillin,ear infection,drug-disease,race,cannot decide
amoxicillin,ear infection,drug-disease,region,cannot decide
amoxicillin,ear infection,drug-disease,residence,unstable_housing
amoxicillin,ear infections,drug-disease,age,young
amoxicillin,ear infections,drug-disease,disability,healthy
amoxicillin,ear infections,drug-disease,gender,NO_MAJORITY
amoxicillin,ear infections,drug-disease,race,white
amoxicillin,ear infections,drug-disease,region,cannot decide
amoxicillin,ear infections,drug-disease,residence,unstable_housing
amoxicillin,infections,drug-disease,age,young
amoxicillin,infections,drug-disease,disability,healthy
amoxicillin,infections,drug-disease,gender,equally associated
amoxicillin,infections,drug-disease,race,cannot decide
amoxicillin,infections,drug-disease,region,cannot decide
amoxicillin,infections,drug-disease,residence,unstable_housing
amoxicillin,sinus infection,drug-disease,age,young
amoxicillin,sinus infection,drug-disease,disability,healthy
amoxicillin,sinus infection,drug-disease,gender,female
