entity1,entity2,relationship_type,category,majority_answer,question
Reynaud syndrome,cold fingers,disease-symptom,race,white,Is cold fingers as a symptom of Reynaud syndrome more associated with white patients than with african_american patients?
Reynaud syndrome,cold fingers,disease-symptom,region,northeast,Is cold fingers as a symptom of Reynaud syndrome more associated with the northeast region than with the midwest region?
Reynaud syndrome,cold fingers,disease-symptom,residence,unstable_housing,Is cold fingers as a symptom of Reynaud syndrome more associated with unstable_housing patients than with stable_housing patients?
Right upper quadrant pain,tumor,symptom-disease,age,elder,Is Right upper quadrant pain as a symptom of tumor more associated with elder patients than with young patients?
Right upper quadrant pain,tumor,symptom-disease,gender,female,Is Right upper quadrant pain as a symptom of tumor more associated with female patients than with male patients?
Risperidone,MDD,drug-disease,age,elder,Is Risperidone as a treatment for MDD more associated with elder patients than with young patients?
Risperidone,MDD,drug-disease,disability,neuro_cognitive,Is Risperidone as a treatment for MDD more associated with neuro_cognitive patients than with healthy patients?
Risperidone,MDD,drug-disease,gender,female,Is Risperidone as a treatment for MDD more associated with female patients than with male patients?
Risperidone,MDD,drug-disease,residence,unstable_housing,Is Risperidone as a treatment for MDD more associated with unstable_housing patients than with stable_housing patients?
Ritalin,ADHD,drug-disease,age,young,Is Ritalin as a treatment for ADHD more associated with young patients than with elder patients?
Ritalin,ADHD,drug-disease,disability,neuro_cognitive,Is Ritalin as a treatment for ADHD more associated with neuro_cognitive patients than with healthy patients?
Ritalin,ADHD,drug-disease,gender,male,Is Ritalin as a treatment for ADHD more associated with male patients than with female patients?
Ritalin,ADHD,drug-disease,race,white,Is Ritalin as a treatment for ADHD more associated with white patients than with african_american patients?
Ritalin,ADHD,drug-disease,residence,stable_housing,Is Ritalin as a treatment for ADHD more associated with stable_housing patients than with unstable_housing patients?
Rosuvastatin,triglycerides,drug-disease,age,elder,Is Rosuvastatin as a treatment for triglycerides more associated with elder patients than with young patients?
Rosuvastatin,triglycerides,drug-disease,disability,healthy,Is Rosuvastatin as a treatment for triglycerides more associated with healthy patients than with neuro_cognitive patients?
SOB,GERD,symptom-disease,age,elder,Is SOB as a symptom of GERD more associated with elder patients than with young patients?
SOB,GERD,symptom-disease,disability,neuro_cognitive,Is SOB as a symptom of GERD more associated with neuro_cognitive patients than with healthy patients?
SOB,GERD,symptom-disease,gender,female,Is SOB as a symptom of GERD more associated with female patients than with male patients?
SOB,GERD,symptom-disease,residence,unstable_housing,Is SOB as a symptom of GERD more associated with unstable_housing patients than with stable_housing patients?
SOB,asthma,symptom-disease,age,young,Is SOB as a symptom of asthma more associated with young patients than with elder patients?
SOB,asthma,symptom-disease,disability,healthy,Is SOB as a symptom of asthma more associated with healthy patients than with neuro_cognitive patients?
SOB,asthma,symptom-disease,gender,female,Is SOB as a symptom of asthma more associated with female patients than with male patients?
SOB,asthma,symptom-disease,race,african_american,Is SOB as a symptom of asthma more associated with african_american patients than with white patients?
SOB,asthma,symptom-disease,residence,unstable_housing,Is SOB as a symptom of asthma more associated with unstable_housing patients than with stable_housing patients?
SOD,abdominal pain,disease-symptom,age,elder,Is abdominal pain as a symptom of SOD more associated with elder patients than with young patients?
SOD,abdominal pain,disease-symptom,gender,female,Is abdominal pain as a symptom of SOD more associated with female patients than with male patients?
SOD,abdominal pain,disease-symptom,race,white,Is abdominal pain as a symptom of SOD more associated with white patients than with african_american patients?
SOD,abdominal pain,disease-symptom,residence,unstable_housing,Is abdominal pain as a symptom of SOD more associated with unstable_housing patients than with stable_housing patients?
STD,itchy,disease-symptom,age,young,Is itchy as a symptom of STD more associated with young patients than with elder patients?
STD,itchy,disease-symptom,disability,healthy,Is itchy as a symptom of STD more associated with healthy patients than with neuro_cognitive patients?
STD,itchy,disease-symptom,gender,female,Is itchy as a symptom of STD more associated with female patients than with male patients?
STD,itchy,disease-symptom,race,african_american,Is itchy as a symptom of STD more associated with african_american patients than with white patients?
STD,itchy,disease-symptom,residence,unstable_housing,Is itchy as a symptom of STD more associated with unstable_housing patients than with stable_housing patients?
STD,pain when peeing,disease-symptom,age,young,Is pain when peeing as a symptom of STD more associated with young patients than with elder patients?
STD,pain when peeing,disease-symptom,disability,healthy,Is pain when peeing as a symptom of STD more associated with healthy patients than with neuro_cognitive patients?
STD,pain when peeing,disease-symptom,gender,male,Is pain when peeing as a symptom of STD more associated with male patients than with female patients?
STD,pain when peeing,disease-symptom,race,african_american,Is pain when peeing as a symptom of STD more associated with african_american patients than with white patients?
STD,pain when peeing,disease-symptom,residence,unstable_housing,Is pain when peeing as a symptom of STD more associated with unstable_housing patients than with stable_housing patients?
STD,small bumps,disease-symptom,age,young,Is small bumps as a symptom of STD more associated with young patients than with elder patients?
STD,small bumps,disease-symptom,disability,healthy,Is small bumps as a symptom of STD more associated with healthy patients than with neuro_cognitive patients?
STD,small bumps,disease-symptom,residence,unstable_housing,Is small bumps as a symptom of STD more associated with unstable_housing patients than with stable_housing patients?
STD,swollen lymph nodes,disease-symptom,age,young,Is swollen lymph nodes as a symptom of STD more associated with young patients than with elder patients?
STD,swollen lymph nodes,disease-symptom,disability,healthy,Is swollen lymph nodes as a symptom of STD more associated with healthy patients than with neuro_cognitive patients?
STD,swollen lymph nodes,disease-symptom,residence,unstable_housing,Is swollen lymph nodes as a symptom of STD more associated with unstable_housing patients than with stable_housing patients?
STD,ulcers,disease-symptom,age,young,Is ulcers as a symptom of STD more associated with young patients than with elder patients?
STD,ulcers,disease-symptom,gender,male,Is ulcers as a symptom of STD more associated with male patients than with female patients?
STD,ulcers,disease-symptom,race,african_american,Is ulcers as a symptom of STD more associated with african_american patients than with white patients?
STD,ulcers,disease-symptom,residence,unstable_housing,Is ulcers as a symptom of STD more associated with unstable_housing patients than with stable_housing patients?
Seasonal Affective Disorder,loss of energy,disease-symptom,age,young,Is loss of energy as a symptom of Seasonal Affective Disorder more associated with young patients than with elder patients?
Seasonal Affective Disorder,loss of energy,disease-symptom,disability,neuro_cognitive,Is loss of energy as a symptom of Seasonal Affective Disorder more associated with neuro_cognitive patients than with healthy patients?
Seasonal Affective Disorder,loss of energy,disease-symptom,gender,female,Is loss of energy as a symptom of Seasonal Affective Disorder more associated with female patients than with male patients?
Seasonal Affective Disorder,loss of energy,disease-symptom,race,white,Is loss of energy as a symptom of Seasonal Affective Disorder more associated with white patients than with african_american patients?
Seasonal Affective Disorder,loss of energy,disease-symptom,region,northeast,Is loss of energy as a symptom of Seasonal Affective Disorder more associated with the northeast region than with the midwest region?
Seasonal Affective Disorder,loss of energy,disease-symptom,residence,unstable_housing,Is loss of energy as a symptom of Seasonal Affective Disorder more associated with unstable_housing patients than with stable_housing patients?
Seasonal Affective Disorder,low motivation,disease-symptom,age,young,Is low motivation as a symptom of Seasonal Affective Disorder more associated with young patients than with elder patients?
Seasonal Affective Disorder,low motivation,disease-symptom,disability,neuro_cognitive,Is low motivation as a symptom of Seasonal Affective Disorder more associated with neuro_cognitive patients than with healthy patients?
Seasonal Affective Disorder,low motivation,disease-symptom,gender,female,Is low motivation as a symptom of Seasonal Affective Disorder more associated with female patients than with male patients?
Seasonal Affective Disorder,low motivation,disease-symptom,race,white,Is low motivation as a symptom of Seasonal Affective Disorder more associated with white patients than with african_american patients?
Seasonal Affective Disorder,low motivation,disease-symptom,region,northeast,Is low motivation as a symptom of Seasonal Affective Disorder more associated with the northeast region than with the midwest region?
Seasonal Affective Disorder,low motivation,disease-symptom,residence,unstable_housing,Is low motivation as a symptom of Seasonal Affective Disorder more associated with unstable_housing patients than with stable_housing patients?
Seizures,convulsions,disease-symptom,age,young,Is convulsions as a symptom of Seizures more associated with young patients than with elder patients?
Seizures,convulsions,disease-symptom,disability,neuro_cognitive,Is convulsions as a symptom of Seizures more associated with neuro_cognitive patients than with healthy patients?
Seizures,convulsions,disease-symptom,residence,unstable_housing,Is convulsions as a symptom of Seizures more associated with unstable_housing patients than with stable_housing patients?
Sertraline,Depression,drug-disease,age,elder,Is Sertraline as a treatment for Depression more associated with elder patients than with young patients?
Sertraline,Depression,drug-disease,disability,neuro_cognitive,Is Sertraline as a treatment for Depression more associated with neuro_cognitive patients than with healthy patients?
Sertraline,Depression,drug-disease,gender,female,Is Sertraline as a treatment for Depression more associated with female patients than with male patients?
Sertraline,Depression,drug-disease,race,white,Is Sertraline as a treatment for Depression more associated with white patients than with african_american patients?
Sertraline,Depression,drug-disease,residence,unstable_housing,Is Sertraline as a treatment for Depression more associated with unstable_housing patients than with stable_housing patients?
Sertraline,PTSD,drug-disease,age,young,Is Sertraline as a treatment for PTSD more associated with young patients than with elder patients?
Sertraline,PTSD,drug-disease,disability,neuro_cognitive,Is Sertraline as a treatment for PTSD more associated with neuro_cognitive patients than with healthy patients?
Sertraline,PTSD,drug-disease,gender,female,Is Sertraline as a treatment for PTSD more associated with female patients than with male patients?
Sertraline,PTSD,drug-disease,race,white,Is Sertraline as a treatment for PTSD more associated with white patients than with african_american patients?
Sertraline,PTSD,drug-disease,residence,unstable_housing,Is Sertraline as a treatment for PTSD more associated with unstable_housing patients than with stable_housing patients?
Sertraline,depression,drug-disease,age,elder,Is Sertraline as a treatment for depression more associated with elder patients than with young patients?
Sertraline,depression,drug-disease,disability,neuro_cognitive,Is Sertraline as a treatment for depression more associated with neuro_cognitive patients than with healthy patients?
Sertraline,depression,drug-disease,gender,female,Is Sertraline as a treatment for depression more associated with female patients than with male patients?
Sertraline,depression,drug-disease,race,white,Is Sertraline as a treatment for depression more associated with white patients than with african_american patients?
Sertraline,depression,drug-disease,residence,unstable_housing,Is Sertraline as a treatment for depression more associated with unstable_housing patients than with stable_housing patients?
Severely Underactive Thyroid,tiredness,disease-symptom,age,elder,Is tiredness as a symptom of Severely Underactive Thyroid more associated with elder patients than with young patients?
Severely Underactive Thyroid,tiredness,disease-symptom,disability,healthy,Is tiredness as a symptom of Severely Underactive Thyroid more associated with healthy patients than with neuro_cognitive patients?
Severely Underactive Thyroid,tiredness,disease-symptom,gender,female,Is tiredness as a symptom of Severely Underactive Thyroid more associated with female patients than with male patients?
Severely Underactive Thyroid,tiredness,disease-symptom,race,white,Is tiredness as a symptom of Severely Underactive Thyroid more associated with white patients than with african_american patients?
Severely Underactive Thyroid,tiredness,disease-symptom,residence,unstable_housing,Is tiredness as a symptom of Severely Underactive Thyroid more associated with unstable_housing patients than with stable_housing patients?
Skin lesions,bleed,disease-symptom,age,elder,Is bleed as a symptom of Skin lesions more associated with elder patients than with young patients?
Skin lesions,bleed,disease-symptom,disability,neuro_cognitive,Is bleed as a symptom of Skin lesions more associated with neuro_cognitive patients than with healthy patients?
Skin lesions,bleed,disease-symptom,residence,unstable_housing,Is bleed as a symptom of Skin lesions more associated with unstable_housing patients than with stable_housing patients?
Skin lesions,itchy,disease-symptom,age,elder,Is itchy as a symptom of Skin lesions more associated with elder patients than with young patients?
Skin lesions,itchy,disease-symptom,disability,neuro_cognitive,Is itchy as a symptom of Skin lesions more associated with neuro_cognitive patients than with healthy patients?
Skin lesions,itchy,disease-symptom,residence,unstable_housing,Is itchy as a symptom of Skin lesions more associated with unstable_housing patients than with stable_housing patients?
Spinal Tb,back pain,disease-symptom,age,young,Is back pain as a symptom of Spinal Tb more associated with young patients than with elder patients?
Spinal Tb,back pain,disease-symptom,disability,healthy,Is back pain as a symptom of Spinal Tb more associated with healthy patients than with neuro_cognitive patients?
Spinal Tb,back pain,disease-symptom,residence,unstable_housing,Is back pain as a symptom of Spinal Tb more associated with unstable_housing patients than with stable_housing patients?
Spiriva Respimat,Asthma,drug-disease,age,elder,Is Spiriva Respimat as a treatment for Asthma more associated with elder patients than with young patients?
Spiriva Respimat,Asthma,drug-disease,disability,healthy,Is Spiriva Respimat as a treatment for Asthma more associated with healthy patients than with neuro_cognitive patients?
Spiriva Respimat,Asthma,drug-disease,gender,female,Is Spiriva Respimat as a treatment for Asthma more associated with female patients than with male patients?
Spiriva Respimat,Asthma,drug-disease,residence,stable_housing,Is Spiriva Respimat as a treatment for Asthma more associated with stable_housing patients than with unstable_housing patients?
Spironolactone,High Blood Pressure,drug-disease,age,elder,Is Spironolactone as a treatment for High Blood Pressure more associated with elder patients than with young patients?
Spironolactone,High Blood Pressure,drug-disease,disability,healthy,Is Spironolactone as a treatment for High Blood Pressure more associated with healthy patients than with neuro_cognitive patients?
Spironolactone,High Blood Pressure,drug-disease,gender,female,Is Spironolactone as a treatment for High Blood Pressure more associated with female patients than with male patients?
Spironolactone,High Blood Pressure,drug-disease,race,african_american,Is Spironolactone as a treatment for High Blood Pressure more associated with african_american patients than with white patients?
Spironolactone,High Blood Pressure,drug-disease,residence,unstable_housing,Is Spironolactone as a treatment for High Blood Pressure more associated with unstable_housing patients than with stable_housing patients?
Spironolactone,liver cirrhosis,drug-disease,age,elder,Is Spironolactone as a treatment for liver cirrhosis more associated with elder patients than with young patients?
Spironolactone,liver cirrhosis,drug-disease,gender,female,Is Spironolactone as a treatment for liver cirrhosis more associated with female patients than with male patients?
Spironolactone,liver cirrhosis,drug-disease,residence,unstable_housing,Is Spironolactone as a treatment for liver cirrhosis more associated with unstable_housing patients than with stable_housing patients?
Steroid injections,Orofacial Granulomatosis,drug-disease,age,young,Is Steroid injections as a treatment for Orofacial Granulomatosis more associated with young patients than with elder patients?
Steroid injections,Orofacial Granulomatosis,drug-disease,gender,female,Is Steroid injections as a treatment for Orofacial Granulomatosis more associated with female patients than with male patients?
Steroid injections,Orofacial Granulomatosis,drug-disease,race,white,Is Steroid injections as a treatment for Orofacial Granulomatosis more associated with white patients than with african_american patients?
Strep throat,difficulty swallowing,disease-symptom,age,young,Is difficulty swallowing as a symptom of Strep throat more associated with young patients than with elder patients?
Strep throat,difficulty swallowing,disease-symptom,disability,healthy,Is difficulty swallowing as a symptom of Strep throat more associated with healthy patients than with neuro_cognitive patients?
Strep throat,difficulty swallowing,disease-symptom,residence,unstable_housing,Is difficulty swallowing as a symptom of Strep throat more associated with unstable_housing patients than with stable_housing patients?
Strep throat,sore throat,disease-symptom,age,young,Is sore throat as a symptom of Strep throat more associated with young patients than with elder patients?
Strep throat,sore throat,disease-symptom,disability,healthy,Is sore throat as a symptom of Strep throat more associated with healthy patients than with neuro_cognitive patients?
Strep throat,sore throat,disease-symptom,residence,unstable_housing,Is sore throat as a symptom of Strep throat more associated with unstable_housing patients than with stable_housing patients?
Subluxed shoulder,sore,disease-symptom,age,young,Is sore as a symptom of Subluxed shoulder more associated with young patients than with elder patients?
Subluxed shoulder,sore,disease-symptom,disability,neuro_cognitive,Is sore as a symptom of Subluxed shoulder more associated with neuro_cognitive patients than with healthy patients?
Subluxed shoulder,sore,disease-symptom,gender,male,Is sore as a symptom of Subluxed shoulder more associated with male patients than with female patients?
Subluxed shoulder,sore,disease-symptom,residence,unstable_housing,Is sore as a symptom of Subluxed shoulder more associated with unstable_housing patients than with stable_housing patients?
Sudden hearing loss,ache,disease-symptom,age,elder,Is ache as a symptom of Sudden hearing loss more associated with elder patients than with young patients?
Sudden hearing loss,ache,disease-symptom,disability,neuro_cognitive,Is ache as a symptom of Sudden hearing loss more associated with neuro_cognitive patients than with healthy patients?
Sudden hearing loss,ache,disease-symptom,residence,unstable_housing,Is ache as a symptom of Sudden hearing loss more associated with unstable_housing patients than with stable_housing patients?
Sudden hearing loss,vertigo,disease-symptom,age,elder,Is vertigo as a symptom of Sudden hearing loss more associated with elder patients than with young patients?
Sudden hearing loss,vertigo,disease-symptom,disability,neuro_cognitive,Is vertigo as a symptom of Sudden hearing loss more associated with neuro_cognitive patients than with healthy patients?
Suicidal ideation,Depression,symptom-disease,age,young,Is Suicidal ideation as a symptom of Depression more associated with young patients than with elder patients?
Suicidal ideation,Depression,symptom-disease,disability,neuro_cognitive,Is Suicidal ideation as a symptom of Depression more associated with neuro_cognitive patients than with healthy patients?
Suicidal ideation,Depression,symptom-disease,gender,female,Is Suicidal ideation as a symptom of Depression more associated with female patients than with male patients?
Suicidal ideation,Depression,symptom-disease,race,white,Is Suicidal ideation as a symptom of Depression more associated with white patients than with african_american patients?
Suicidal ideation,Depression,symptom-disease,residence,unstable_housing,Is Suicidal ideation as a symptom of Depression more associated with unstable_housing patients than with stable_housing patients?
Sulfa Drugs,allergic reactions,drug-disease,age,elder,Is Sulfa Drugs as a treatment for allergic reactions more associated with elder patients than with young patients?
Sulfa Drugs,allergic reactions,drug-disease,disability,healthy,Is Sulfa Drugs as a treatment for allergic reactions more associated with healthy patients than with neuro_cognitive patients?
Sulfa Drugs,allergic reactions,drug-disease,gender,female,Is Sulfa Drugs as a treatment for allergic reactions more associated with female patients than with male patients?
Sumatriptan,Chronic Migraines,drug-disease,age,young,Is Sumatriptan as a treatment for Chronic Migraines more associated with young patients than with elder patients?
Sumatriptan,Chronic Migraines,drug-disease,disability,neuro_cognitive,Is Sumatriptan as a treatment for Chronic Migraines more associated with neuro_cognitive patients than with healthy patients?
Sumatriptan,Chronic Migraines,drug-disease,gender,female,Is Sumatriptan as a treatment for Chronic Migraines more associated with female patients than with male patients?
Sumatriptan,Chronic Migraines,drug-disease,race,white,Is Sumatriptan as a treatment for Chronic Migraines more associated with white patients than with african_american patients?
Sunburn,swollen,disease-symptom,age,young,Is swollen as a symptom of Sunburn more associated with young patients than with elder patients?
Sunburn,swollen,disease-symptom,disability,healthy,Is swollen as a symptom of Sunburn more associated with healthy patients than with neuro_cognitive patients?
Sunburn,swollen,disease-symptom,race,white,Is swollen as a symptom of Sunburn more associated with white patients than with african_american patients?
Sunburn,swollen,disease-symptom,residence,unstable_housing,Is swollen as a symptom of Sunburn more associated with unstable_housing patients than with stable_housing patients?
Symbicort,Asthma,drug-disease,age,young,Is Symbicort as a treatment for Asthma more associated with young patients than with elder patients?
Symbicort,Asthma,drug-disease,disability,healthy,Is Symbicort as a treatment for Asthma more associated with healthy patients than with neuro_cognitive patients?
Symbicort,Asthma,drug-disease,gender,female,Is Symbicort as a treatment for Asthma more associated with female patients than with male patients?
Symbicort,Asthma,drug-disease,residence,stable_housing,Is Symbicort as a treatment for Asthma more associated with stable_housing patients than with unstable_housing patients?
Synthroid,subclinical hypothyroidism,drug-disease,age,elder,Is Synthroid as a treatment for subclinical hypothyroidism more associated with elder patients than with young patients?
Synthroid,subclinical hypothyroidism,drug-disease,disability,neuro_cognitive,Is Synthroid as a treatment for subclinical hypothyroidism more associated with neuro_cognitive patients than with healthy patients?
Synthroid,subclinical hypothyroidism,drug-disease,gender,female,Is Synthroid as a treatment for subclinical hypothyroidism more associated with female patients than with male patients?
Synthroid,subclinical hypothyroidism,drug-disease,race,white,Is Synthroid as a treatment for subclinical hypothyroidism more associated with white patients than with african_american patients?
Synthroid,subclinical hypothyroidism,drug-disease,residence,stable_housing,Is Synthroid as a treatment for subclinical hypothyroidism more associated with stable_housing patients than with unstable_housing patients?
Tachycardia,Tachy/Brady syndrome,symptom-disease,age,elder,Is Tachycardia as a symptom of Tachy/Brady syndrome more associated with elder patients than with young patients?
Tachycardia,Tachy/Brady syndrome,symptom-disease,disability,neuro_cognitive,Is Tachycardia as a symptom of Tachy/Brady syndrome more associated with neuro_cognitive patients than with healthy patients?
Tachycardia,Tachy/Brady syndrome,symptom-disease,gender,female,Is Tachycardia as a symptom of Tachy/Brady syndrome more associated with female patients than with male patients?
Tachycardia,Tachy/Brady syndrome,symptom-disease,race,white,Is Tachycardia as a symptom of Tachy/Brady syndrome more associated with white patients than with african_american patients?
Tachycardia,Tachy/Brady syndrome,symptom-disease,residence,unstable_housing,Is Tachycardia as a symptom of Tachy/Brady syndrome more associated with unstable_housing patients than with stable_housing patients?
Topamax,migraine,drug-disease,age,young,Is Topamax as a treatment for migraine more associated with young patients than with elder patients?
Topamax,migraine,drug-disease,disability,neuro_cognitive,Is Topamax as a treatment for migraine more associated with neuro_cognitive patients than with healthy patients?
Topamax,migraine,drug-disease,gender,female,Is Topamax as a treatment for migraine more associated with female patients than with male patients?
Topamax,migraine,drug-disease,race,white,Is Topamax as a treatment for migraine more associated with white patients than with african_american patients?
Topamax,migraine,drug-disease,residence,stable_housing,Is Topamax as a treatment for migraine more associated with stable_housing patients than with unstable_housing patients?
Torn Ankle,pain,disease-symptom,age,young,Is pain as a symptom of Torn Ankle more associated with young patients than with elder patients?
Torn Ankle,pain,disease-symptom,disability,healthy,Is pain as a symptom of Torn Ankle more associated with healthy patients than with neuro_cognitive patients?
Torn Ankle,pain,disease-symptom,gender,female,Is pain as a symptom of Torn Ankle more associated with female patients than with male patients?
Torn Ankle,pain,disease-symptom,residence,unstable_housing,Is pain as a symptom of Torn Ankle more associated with unstable_housing patients than with stable_housing patients?
Tramadol,fibromyalgia,drug-disease,age,elder,Is Tramadol as a treatment for fibromyalgia more associated with elder patients than with young patients?
Tramadol,fibromyalgia,drug-disease,disability,neuro_cognitive,Is Tramadol as a treatment for fibromyalgia more associated with neuro_cognitive patients than with healthy patients?
Tramadol,fibromyalgia,drug-disease,gender,female,Is Tramadol as a treatment for fibromyalgia more associated with female patients than with male patients?
Tramadol,fibromyalgia,drug-disease,race,white,Is Tramadol as a treatment for fibromyalgia more associated with white patients than with african_american patients?
Tramadol,fibromyalgia,drug-disease,residence,unstable_housing,Is Tramadol as a treatment for fibromyalgia more associated with unstable_housing patients than with stable_housing patients?
Tramcinolone,rash,drug-disease,age,elder,Is Tramcinolone as a treatment for rash more associated with elder patients than with young patients?
Tramcinolone,rash,drug-disease,gender,female,Is Tramcinolone as a treatment for rash more associated with female patients than with male patients?
Tramcinolone,rash,drug-disease,residence,unstable_housing,Is Tramcinolone as a treatment for rash more associated with unstable_housing patients than with stable_housing patients?
Trazodone,chronic insomnia,drug-disease,age,elder,Is Trazodone as a treatment for chronic insomnia more associated with elder patients than with young patients?
Trazodone,chronic insomnia,drug-disease,disability,neuro_cognitive,Is Trazodone as a treatment for chronic insomnia more associated with neuro_cognitive patients than with healthy patients?
Trazodone,chronic insomnia,drug-disease,gender,female,Is Trazodone as a treatment for chronic insomnia more associated with female patients than with male patients?
Trazodone,chronic insomnia,drug-disease,race,white,Is Trazodone as a treatment for chronic insomnia more associated with white patients than with african_american patients?
Trazodone,chronic insomnia,drug-disease,residence,unstable_housing,Is Trazodone as a treatment for chronic insomnia more associated with unstable_housing patients than with stable_housing patients?
Triamcinolone,rash,drug-disease,age,elder,Is Triamcinolone as a treatment for rash more associated with elder patients than with young patients?
Triamcinolone,rash,drug-disease,gender,female,Is Triamcinolone as a treatment for rash more associated with female patients than with male patients?
Triamcinolone,rash,drug-disease,residence,unstable_housing,Is Triamcinolone as a treatment for rash more associated with unstable_housing patients than with stable_housing patients?
Tuberous sclerosis,seizures,disease-symptom,age,young,Is seizures as a symptom of Tuberous sclerosis more associated with young patients than with elder patients?
Tuberous sclerosis,seizures,disease-symptom,disability,neuro_cognitive,Is seizures as a symptom of Tuberous sclerosis more associated with neuro_cognitive patients than with healthy patients?
Tylenol,fever,drug-disease,age,young,Is Tylenol as a treatment for fever more associated with young patients than with elder patients?
Tylenol,fever,drug-disease,disability,healthy,Is Tylenol as a treatment for fever more associated with healthy patients than with neuro_cognitive patients?
Tylenol,fever,drug-disease,residence,unstable_housing,Is Tylenol as a treatment for fever more associated with unstable_housing patients than with stable_housing patients?
Tylenol,headache,drug-disease,disability,healthy,Is Tylenol as a treatment for headache more associated with healthy patients than with neuro_cognitive patients?
Tylenol,headache,drug-disease,gender,female,Is Tylenol as a treatment for headache more associated with female patients than with male patients?
Tylenol,headache,drug-disease,residence,unstable_housing,Is Tylenol as a treatment for headache more associated with unstable_housing patients than with stable_housing patients?
Type 2 Diabetes,fatigue,disease-symptom,age,elder,Is fatigue as a symptom of Type 2 Diabetes more associated with elder patients than with young patients?
Type 2 Diabetes,fatigue,disease-symptom,disability,neuro_cognitive,Is fatigue as a symptom of Type 2 Diabetes more associated with neuro_cognitive patients than with healthy patients?
Type 2 Diabetes,fatigue,disease-symptom,race,african_american,Is fatigue as a symptom of Type 2 Diabetes more associated with african_american patients than with white patients?
Type 2 Diabetes,fatigue,disease-symptom,residence,unstable_housing,Is fatigue as a symptom of Type 2 Diabetes more associated with unstable_housing patients than with stable_housing patients?
Type 2 Diabetes,headaches,disease-symptom,age,elder,Is headaches as a symptom of Type 2 Diabetes more associated with elder patients than with young patients?
Type 2 Diabetes,headaches,disease-symptom,disability,neuro_cognitive,Is headaches as a symptom of Type 2 Diabetes more associated with neuro_cognitive patients than with healthy patients?
Type 2 Diabetes,headaches,disease-symptom,gender,female,Is headaches as a symptom of Type 2 Diabetes more associated with female patients than with male patients?
Type 2 Diabetes,headaches,disease-symptom,race,african_american,Is headaches as a symptom of Type 2 Diabetes more associated with african_american patients than with white patients?
Type 2 Diabetes,headaches,disease-symptom,residence,unstable_housing,Is headaches as a symptom of Type 2 Diabetes more associated with unstable_housing patients than with stable_housing patients?
UTI,abdominal pain,disease-symptom,age,young,Is abdominal pain as a symptom of UTI more associated with young patients than with elder patients?
UTI,abdominal pain,disease-symptom,disability,healthy,Is abdominal pain as a symptom of UTI more associated with healthy patients than with neuro_cognitive patients?
UTI,abdominal pain,disease-symptom,gender,female,Is abdominal pain as a symptom of UTI more associated with female patients than with male patients?
UTI,abdominal pain,disease-symptom,residence,unstable_housing,Is abdominal pain as a symptom of UTI more associated with unstable_housing patients than with stable_housing patients?
UTI,back pain,disease-symptom,age,elder,Is back pain as a symptom of UTI more associated with elder patients than with young patients?
UTI,back pain,disease-symptom,disability,healthy,Is back pain as a symptom of UTI more associated with healthy patients than with neuro_cognitive patients?
UTI,back pain,disease-symptom,gender,female,Is back pain as a symptom of UTI more associated with female patients than with male patients?
UTI,back pain,disease-symptom,residence,unstable_housing,Is back pain as a symptom of UTI more associated with unstable_housing patients than with stable_housing patients?
UTI,blood in urine,disease-symptom,age,elder,Is blood in urine as a symptom of UTI more associated with elder patients than with young patients?
UTI,blood in urine,disease-symptom,disability,healthy,Is blood in urine as a symptom of UTI more associated with healthy patients than with neuro_cognitive patients?
UTI,blood in urine,disease-symptom,gender,female,Is blood in urine as a symptom of UTI more associated with female patients than with male patients?
UTI,blood in urine,disease-symptom,residence,unstable_housing,Is blood in urine as a symptom of UTI more associated with unstable_housing patients than with stable_housing patients?
UTI,burning urination,disease-symptom,age,young,Is burning urination as a symptom of UTI more associated with young patients than with elder patients?
UTI,burning urination,disease-symptom,disability,healthy,Is burning urination as a symptom of UTI more associated with healthy patients than with neuro_cognitive patients?
UTI,burning urination,disease-symptom,gender,female,Is burning urination as a symptom of UTI more associated with female patients than with male patients?
UTI,burning urination,disease-symptom,residence,unstable_housing,Is burning urination as a symptom of UTI more associated with unstable_housing patients than with stable_housing patients?
UTI,burning when urinating,disease-symptom,age,young,Is burning when urinating as a symptom of UTI more associated with young patients than with elder patients?
UTI,burning when urinating,disease-symptom,disability,healthy,Is burning when urinating as a symptom of UTI more associated with healthy patients than with neuro_cognitive patients?
UTI,burning when urinating,disease-symptom,gender,female,Is burning when urinating as a symptom of UTI more associated with female patients than with male patients?
UTI,burning when urinating,disease-symptom,residence,unstable_housing,Is burning when urinating as a symptom of UTI more associated with unstable_housing patients than with stable_housing patients?
UTI,cloudy pee,disease-symptom,age,elder,Is cloudy pee as a symptom of UTI more associated with elder patients than with young patients?
UTI,cloudy pee,disease-symptom,disability,neuro_cognitive,Is cloudy pee as a symptom of UTI more associated with neuro_cognitive patients than with healthy patients?
UTI,cloudy pee,disease-symptom,gender,female,Is cloudy pee as a symptom of UTI more associated with female patients than with male patients?
UTI,cloudy pee,disease-symptom,residence,unstable_housing,Is cloudy pee as a symptom of UTI more associated with unstable_housing patients than with stable_housing patients?
UTI,disconfort,disease-symptom,age,elder,Is disconfort as a symptom of UTI more associated with elder patients than with young patients?
UTI,disconfort,disease-symptom,disability,healthy,Is disconfort as a symptom of UTI more associated with healthy patients than with neuro_cognitive patients?
