entity1,entity2,relationship_type,question1,question2,question3
chronic pancreatitis,abdominal pain,disease-symptom,Is chronic pancreatitis a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of chronic pancreatitis?
dull pain,chronic pancreatitis,symptom-disease,Is dull pain a symptom?,Is chronic pancreatitis a disease?,Is dull pain a symptom of chronic pancreatitis?
abdominal pain,chronic pancreatitis,symptom-disease,Is abdominal pain a symptom?,Is chronic pancreatitis a disease?,Is abdominal pain a symptom of chronic pancreatitis?
PCOs,irregular periods,disease-symptom,Is PCOs a disease?,Is irregular periods a symptom?,Is irregular periods a symptom of PCOs?
PCOs,acne,disease-symptom,Is PCOs a disease?,Is acne a symptom?,Is acne a symptom of PCOs?
PCOs,excess hair growth,disease-symptom,Is PCOs a disease?,Is excess hair growth a symptom?,Is excess hair growth a symptom of PCOs?
high blood pressure,headache,disease-symptom,Is high blood pressure a disease?,Is headache a symptom?,Is headache a symptom of high blood pressure?
migraine,vomiting,disease-symptom,Is migraine a disease?,Is vomiting a symptom?,Is vomiting a symptom of migraine?
headache,high blood pressure,symptom-disease,Is headache a symptom?,Is high blood pressure a disease?,Is headache a symptom of high blood pressure?
antibiotics,UTI,drug-disease,Is antibiotics a drug?,Is UTI a disease?,Is antibiotics used to treat UTI?
UTI,back pain,disease-symptom,Is UTI a disease?,Is back pain a symptom?,Is back pain a symptom of UTI?
UTI,cloudy pee,disease-symptom,Is UTI a disease?,Is cloudy pee a symptom?,Is cloudy pee a symptom of UTI?
back pain,UTI,symptom-disease,Is back pain a symptom?,Is UTI a disease?,Is back pain a symptom of UTI?
cloudy pee,UTI,symptom-disease,Is cloudy pee a symptom?,Is UTI a disease?,Is cloudy pee a symptom of UTI?
migraine,headache,disease-symptom,Is migraine a disease?,Is headache a symptom?,Is headache a symptom of migraine?
migraine,nausea,disease-symptom,Is migraine a disease?,Is nausea a symptom?,Is nausea a symptom of migraine?
diarrhea,stomach bug,symptom-disease,Is diarrhea a symptom?,Is stomach bug a disease?,Is diarrhea a symptom of stomach bug?
headache,migraine,symptom-disease,Is headache a symptom?,Is migraine a disease?,Is headache a symptom of migraine?
nausea,migraine,symptom-disease,Is nausea a symptom?,Is migraine a disease?,Is nausea a symptom of migraine?
cancer,pain,disease-symptom,Is cancer a disease?,Is pain a symptom?,Is pain a symptom of cancer?
cancer,weakness,disease-symptom,Is cancer a disease?,Is weakness a symptom?,Is weakness a symptom of cancer?
STD,ulcers,disease-symptom,Is STD a disease?,Is ulcers a symptom?,Is ulcers a symptom of STD?
STD,swollen lymph nodes,disease-symptom,Is STD a disease?,Is swollen lymph nodes a symptom?,Is swollen lymph nodes a symptom of STD?
STD,pain when peeing,disease-symptom,Is STD a disease?,Is pain when peeing a symptom?,Is pain when peeing a symptom of STD?
ulcers,STD,symptom-disease,Is ulcers a symptom?,Is STD a disease?,Is ulcers a symptom of STD?
swollen lymph nodes,STD,symptom-disease,Is swollen lymph nodes a symptom?,Is STD a disease?,Is swollen lymph nodes a symptom of STD?
pain when peeing,STD,symptom-disease,Is pain when peeing a symptom?,Is STD a disease?,Is pain when peeing a symptom of STD?
contact dermatitis,rash,disease-symptom,Is contact dermatitis a disease?,Is rash a symptom?,Is rash a symptom of contact dermatitis?
rash,contact dermatitis,symptom-disease,Is rash a symptom?,Is contact dermatitis a disease?,Is rash a symptom of contact dermatitis?
stomach bug,vomiting/diarrhea,disease-symptom,Is stomach bug a disease?,Is vomiting/diarrhea a symptom?,Is vomiting/diarrhea a symptom of stomach bug?
Covid,headaches,disease-symptom,Is Covid a disease?,Is headaches a symptom?,Is headaches a symptom of Covid?
Covid,fatigue,disease-symptom,Is Covid a disease?,Is fatigue a symptom?,Is fatigue a symptom of Covid?
Covid,loss of taste,disease-symptom,Is Covid a disease?,Is loss of taste a symptom?,Is loss of taste a symptom of Covid?
Covid,smell,disease-symptom,Is Covid a disease?,Is smell a symptom?,Is smell a symptom of Covid?
Covid,scratchy/sore throat,disease-symptom,Is Covid a disease?,Is scratchy/sore throat a symptom?,Is scratchy/sore throat a symptom of Covid?
irregular bowel movement,constipation,symptom-disease,Is irregular bowel movement a symptom?,Is constipation a disease?,Is irregular bowel movement a symptom of constipation?
remdesivir,COVID,drug-disease,Is remdesivir a drug?,Is COVID a disease?,Is remdesivir used to treat COVID?
iron infusions,iron deficiency anemia,drug-disease,Is iron infusions a drug?,Is iron deficiency anemia a disease?,Is iron infusions used to treat iron deficiency anemia?
anxiety,nervous,disease-symptom,Is anxiety a disease?,Is nervous a symptom?,Is nervous a symptom of anxiety?
anxiety,panicky,disease-symptom,Is anxiety a disease?,Is panicky a symptom?,Is panicky a symptom of anxiety?
broken/fractured,pain,disease-symptom,Is broken/fractured a disease?,Is pain a symptom?,Is pain a symptom of broken/fractured?
broken/fractured,swollen,disease-symptom,Is broken/fractured a disease?,Is swollen a symptom?,Is swollen a symptom of broken/fractured?
Laryngitis,hoarseness/lost of voice,disease-symptom,Is Laryngitis a disease?,Is hoarseness/lost of voice a symptom?,Is hoarseness/lost of voice a symptom of Laryngitis?
eosinophilic esophagitis,troubles swallowing,disease-symptom,Is eosinophilic esophagitis a disease?,Is troubles swallowing a symptom?,Is troubles swallowing a symptom of eosinophilic esophagitis?
diamox,pseudotumor cerebri,drug-disease,Is diamox a drug?,Is pseudotumor cerebri a disease?,Is diamox used to treat pseudotumor cerebri?
partial numbness,minor nerve damage,symptom-disease,Is partial numbness a symptom?,Is minor nerve damage a disease?,Is partial numbness a symptom of minor nerve damage?
minor nerve damage,tingling sensation,disease-symptom,Is minor nerve damage a disease?,Is tingling sensation a symptom?,Is tingling sensation a symptom of minor nerve damage?
Migraine,headache,disease-symptom,Is Migraine a disease?,Is headache a symptom?,Is headache a symptom of Migraine?
fatigue,Migraine,symptom-disease,Is fatigue a symptom?,Is Migraine a disease?,Is fatigue a symptom of Migraine?
morphine,complex pelvic pain,drug-disease,Is morphine a drug?,Is complex pelvic pain a disease?,Is morphine used to treat complex pelvic pain?
morphine,CRPS,drug-disease,Is morphine a drug?,Is CRPS a disease?,Is morphine used to treat CRPS?
oxy,complex pelvic pain,drug-disease,Is oxy a drug?,Is complex pelvic pain a disease?,Is oxy used to treat complex pelvic pain?
oxy,CRPS,drug-disease,Is oxy a drug?,Is CRPS a disease?,Is oxy used to treat CRPS?
complex pelvic pain,painful,disease-symptom,Is complex pelvic pain a disease?,Is painful a symptom?,Is painful a symptom of complex pelvic pain?
CRPS,painful,disease-symptom,Is CRPS a disease?,Is painful a symptom?,Is painful a symptom of CRPS?
morphine,pain,drug-disease,Is morphine a drug?,Is pain a disease?,Is morphine used to treat pain?
Heparin,Heparin-induced thrombocytopenia,drug-disease,Is Heparin a drug?,Is Heparin-induced thrombocytopenia a disease?,Is Heparin used to treat Heparin-induced thrombocytopenia?
kidney failure,increased creatinine,disease-symptom,Is kidney failure a disease?,Is increased creatinine a symptom?,Is increased creatinine a symptom of kidney failure?
amoxicillin,infections,drug-disease,Is amoxicillin a drug?,Is infections a disease?,Is amoxicillin used to treat infections?
herpes,bumps,disease-symptom,Is herpes a disease?,Is bumps a symptom?,Is bumps a symptom of herpes?
pills,herpes,drug-disease,Is pills a drug?,Is herpes a disease?,Is pills used to treat herpes?
Vitamin D,vitamin D deficiency,drug-disease,Is Vitamin D a drug?,Is vitamin D deficiency a disease?,Is Vitamin D used to treat vitamin D deficiency?
migraines,aura,disease-symptom,Is migraines a disease?,Is aura a symptom?,Is aura a symptom of migraines?
obstructive sleep apnoea,tired,disease-symptom,Is obstructive sleep apnoea a disease?,Is tired a symptom?,Is tired a symptom of obstructive sleep apnoea?
sumatriptan,migraines,drug-disease,Is sumatriptan a drug?,Is migraines a disease?,Is sumatriptan used to treat migraines?
torsion,pain,disease-symptom,Is torsion a disease?,Is pain a symptom?,Is pain a symptom of torsion?
microtorsion,pain,disease-symptom,Is microtorsion a disease?,Is pain a symptom?,Is pain a symptom of microtorsion?
COVID,fatigue,disease-symptom,Is COVID a disease?,Is fatigue a symptom?,Is fatigue a symptom of COVID?
dust allergies,burning eyes,disease-symptom,Is dust allergies a disease?,Is burning eyes a symptom?,Is burning eyes a symptom of dust allergies?
dust allergies,burning sinuses,disease-symptom,Is dust allergies a disease?,Is burning sinuses a symptom?,Is burning sinuses a symptom of dust allergies?
fatigue,COVID,symptom-disease,Is fatigue a symptom?,Is COVID a disease?,Is fatigue a symptom of COVID?
Ondansetron,nausea,drug-disease,Is Ondansetron a drug?,Is nausea a disease?,Is Ondansetron used to treat nausea?
Promethazine,nausea,drug-disease,Is Promethazine a drug?,Is nausea a disease?,Is Promethazine used to treat nausea?
Plantar Warts,haemorrhage,disease-symptom,Is Plantar Warts a disease?,Is haemorrhage a symptom?,Is haemorrhage a symptom of Plantar Warts?
molar pregnancy,abdominal pain,disease-symptom,Is molar pregnancy a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of molar pregnancy?
ectopic pregnancy,abdominal pain,disease-symptom,Is ectopic pregnancy a disease?,Is abdominal pain a symptom?,Is abdominal pain a symptom of ectopic pregnancy?
pregnancy,breast tender,disease-symptom,Is pregnancy a disease?,Is breast tender a symptom?,Is breast tender a symptom of pregnancy?
abdominal pain,ectopic pregnancy,symptom-disease,Is abdominal pain a symptom?,Is ectopic pregnancy a disease?,Is abdominal pain a symptom of ectopic pregnancy?
abdominal pain,molar pregnancy,symptom-disease,Is abdominal pain a symptom?,Is molar pregnancy a disease?,Is abdominal pain a symptom of molar pregnancy?
breast tender,pregnancy,symptom-disease,Is breast tender a symptom?,Is pregnancy a disease?,Is breast tender a symptom of pregnancy?
hypoglycemia,heart palpitations,disease-symptom,Is hypoglycemia a disease?,Is heart palpitations a symptom?,Is heart palpitations a symptom of hypoglycemia?
asthma,albuterol,drug-disease,Is asthma a drug?,Is albuterol a disease?,Is asthma used to treat albuterol?
anxiety,palpitations,disease-symptom,Is anxiety a disease?,Is palpitations a symptom?,Is palpitations a symptom of anxiety?
dizzy,head injury,symptom-disease,Is dizzy a symptom?,Is head injury a disease?,Is dizzy a symptom of head injury?
Fibroids,thin endometrium,disease-symptom,Is Fibroids a disease?,Is thin endometrium a symptom?,Is thin endometrium a symptom of Fibroids?
neomycin ear drops,ear infections,drug-disease,Is neomycin ear drops a drug?,Is ear infections a disease?,Is neomycin ear drops used to treat ear infections?
hyperthyroidism,sweating,disease-symptom,Is hyperthyroidism a disease?,Is sweating a symptom?,Is sweating a symptom of hyperthyroidism?
Spironolactone,liver cirrhosis,drug-disease,Is Spironolactone a drug?,Is liver cirrhosis a disease?,Is Spironolactone used to treat liver cirrhosis?
Bisoprolol,heart problems,drug-disease,Is Bisoprolol a drug?,Is heart problems a disease?,Is Bisoprolol used to treat heart problems?
Aspirin,heart problems,drug-disease,Is Aspirin a drug?,Is heart problems a disease?,Is Aspirin used to treat heart problems?
testicular cancer,lump,disease-symptom,Is testicular cancer a disease?,Is lump a symptom?,Is lump a symptom of testicular cancer?
testicular cancer,pain,disease-symptom,Is testicular cancer a disease?,Is pain a symptom?,Is pain a symptom of testicular cancer?
pain,testicular cancer,symptom-disease,Is pain a symptom?,Is testicular cancer a disease?,Is pain a symptom of testicular cancer?
head injury,dizzy,disease-symptom,Is head injury a disease?,Is dizzy a symptom?,Is dizzy a symptom of head injury?
head injury,head pain,disease-symptom,Is head injury a disease?,Is head pain a symptom?,Is head pain a symptom of head injury?
dizzy,head injury,symptom-disease,Is dizzy a symptom?,Is head injury a disease?,Is dizzy a symptom of head injury?
Amlodipine,High blood pressure,drug-disease,Is Amlodipine a drug?,Is High blood pressure a disease?,Is Amlodipine used to treat High blood pressure?
Paroxetine,Anxiety,drug-disease,Is Paroxetine a drug?,Is Anxiety a disease?,Is Paroxetine used to treat Anxiety?
Mucormycosis,sinus pain,disease-symptom,Is Mucormycosis a disease?,Is sinus pain a symptom?,Is sinus pain a symptom of Mucormycosis?
amphotericin B,Mucormycosis,drug-disease,Is amphotericin B a drug?,Is Mucormycosis a disease?,Is amphotericin B used to treat Mucormycosis?
metformin,PCOS,drug-disease,Is metformin a drug?,Is PCOS a disease?,Is metformin used to treat PCOS?
propranolol,migraines,drug-disease,Is propranolol a drug?,Is migraines a disease?,Is propranolol used to treat migraines?
pramipexole,restless legs,drug-disease,Is pramipexole a drug?,Is restless legs a disease?,Is pramipexole used to treat restless legs?
Vyvanse,ADHD,drug-disease,Is Vyvanse a drug?,Is ADHD a disease?,Is Vyvanse used to treat ADHD?
citalopram,anxiety,drug-disease,Is citalopram a drug?,Is anxiety a disease?,Is citalopram used to treat anxiety?
anxiety,headache,disease-symptom,Is anxiety a disease?,Is headache a symptom?,Is headache a symptom of anxiety?
throat infection,sore throat,disease-symptom,Is throat infection a disease?,Is sore throat a symptom?,Is sore throat a symptom of throat infection?
eczema,rash,disease-symptom,Is eczema a disease?,Is rash a symptom?,Is rash a symptom of eczema?
seizure,body shaking,disease-symptom,Is seizure a disease?,Is body shaking a symptom?,Is body shaking a symptom of seizure?
seizure,loss of consciousness,disease-symptom,Is seizure a disease?,Is loss of consciousness a symptom?,Is loss of consciousness a symptom of seizure?
heart stopping,coma,disease-symptom,Is heart stopping a disease?,Is coma a symptom?,Is coma a symptom of heart stopping?
impacted wisdom tooth,tooth pain,disease-symptom,Is impacted wisdom tooth a disease?,Is tooth pain a symptom?,Is tooth pain a symptom of impacted wisdom tooth?
ibuprofen,tooth pain,drug-disease,Is ibuprofen a drug?,Is tooth pain a disease?,Is ibuprofen used to treat tooth pain?
albuterol,asthma,drug-disease,Is albuterol a drug?,Is asthma a disease?,Is albuterol used to treat asthma?
cymbalta,chronic pain,drug-disease,Is cymbalta a drug?,Is chronic pain a disease?,Is cymbalta used to treat chronic pain?
albendazole,parasite,drug-disease,Is albendazole a drug?,Is parasite a disease?,Is albendazole used to treat parasite?
parasite,headache,disease-symptom,Is parasite a disease?,Is headache a symptom?,Is headache a symptom of parasite?
parasite,nauseous,disease-symptom,Is parasite a disease?,Is nauseous a symptom?,Is nauseous a symptom of parasite?
headache,parasite,symptom-disease,Is headache a symptom?,Is parasite a disease?,Is headache a symptom of parasite?
nauseous,parasite,symptom-disease,Is nauseous a symptom?,Is parasite a disease?,Is nauseous a symptom of parasite?
spider bite,redness,disease-symptom,Is spider bite a disease?,Is redness a symptom?,Is redness a symptom of spider bite?
spider bite,itchy,disease-symptom,Is spider bite a disease?,Is itchy a symptom?,Is itchy a symptom of spider bite?
constipation,tummy pain,disease-symptom,Is constipation a disease?,Is tummy pain a symptom?,Is tummy pain a symptom of constipation?
chemical pneumonitis,coughing,disease-symptom,Is chemical pneumonitis a disease?,Is coughing a symptom?,Is coughing a symptom of chemical pneumonitis?
chemical pneumonitis,upper chest pain,disease-symptom,Is chemical pneumonitis a disease?,Is upper chest pain a symptom?,Is upper chest pain a symptom of chemical pneumonitis?
acid reflux,post nasal drip,disease-symptom,Is acid reflux a disease?,Is post nasal drip a symptom?,Is post nasal drip a symptom of acid reflux?
laceration,pain,disease-symptom,Is laceration a disease?,Is pain a symptom?,Is pain a symptom of laceration?
brain tumour,worst headache,disease-symptom,Is brain tumour a disease?,Is worst headache a symptom?,Is worst headache a symptom of brain tumour?
brain tumour,throwing up,disease-symptom,Is brain tumour a disease?,Is throwing up a symptom?,Is throwing up a symptom of brain tumour?
brain tumour,pain/pressure sensation,disease-symptom,Is brain tumour a disease?,Is pain/pressure sensation a symptom?,Is pain/pressure sensation a symptom of brain tumour?
clinical depression,depressed,disease-symptom,Is clinical depression a disease?,Is depressed a symptom?,Is depressed a symptom of clinical depression?
clinical depression,apathetic,disease-symptom,Is clinical depression a disease?,Is apathetic a symptom?,Is apathetic a symptom of clinical depression?
anxiety,brain fog,disease-symptom,Is anxiety a disease?,Is brain fog a symptom?,Is brain fog a symptom of anxiety?
anxiety,lightheaded,disease-symptom,Is anxiety a disease?,Is lightheaded a symptom?,Is lightheaded a symptom of anxiety?
silent heart attack,lightheaded,disease-symptom,Is silent heart attack a disease?,Is lightheaded a symptom?,Is lightheaded a symptom of silent heart attack?
tachycardia,heart rate above 100,disease-symptom,Is tachycardia a disease?,Is heart rate above 100 a symptom?,Is heart rate above 100 a symptom of tachycardia?
cold,mucus,disease-symptom,Is cold a disease?,Is mucus a symptom?,Is mucus a symptom of cold?
cold,scratchy throat,disease-symptom,Is cold a disease?,Is scratchy throat a symptom?,Is scratchy throat a symptom of cold?
obstruction,dilated ureter,disease-symptom,Is obstruction a disease?,Is dilated ureter a symptom?,Is dilated ureter a symptom of obstruction?
dislocation,pain,disease-symptom,Is dislocation a disease?,Is pain a symptom?,Is pain a symptom of dislocation?
pneumonia,fever,disease-symptom,Is pneumonia a disease?,Is fever a symptom?,Is fever a symptom of pneumonia?
pneumonia,coughing,disease-symptom,Is pneumonia a disease?,Is coughing a symptom?,Is coughing a symptom of pneumonia?
Pantoprazole,esophagitis,drug-disease,Is Pantoprazole a drug?,Is esophagitis a disease?,Is Pantoprazole used to treat esophagitis?
Pantoprazole,mild reactive gastropathy,drug-disease,Is Pantoprazole a drug?,Is mild reactive gastropathy a disease?,Is Pantoprazole used to treat mild reactive gastropathy?
esophagitis,heartburn,disease-symptom,Is esophagitis a disease?,Is heartburn a symptom?,Is heartburn a symptom of esophagitis?
mild reactive gastropathy,stomach aches,disease-symptom,Is mild reactive gastropathy a disease?,Is stomach aches a symptom?,Is stomach aches a symptom of mild reactive gastropathy?
heartburn,esophagitis,symptom-disease,Is heartburn a symptom?,Is esophagitis a disease?,Is heartburn a symptom of esophagitis?
stomach aches,mild reactive gastropathy,symptom-disease,Is stomach aches a symptom?,Is mild reactive gastropathy a disease?,Is stomach aches a symptom of mild reactive gastropathy?
necrosis,pain,disease-symptom,Is necrosis a disease?,Is pain a symptom?,Is pain a symptom of necrosis?
atenolol,anxiety,drug-disease,Is atenolol a drug?,Is anxiety a disease?,Is atenolol used to treat anxiety?
anxiety,heart rate,disease-symptom,Is anxiety a disease?,Is heart rate a symptom?,Is heart rate a symptom of anxiety?
heart rate,anxiety,symptom-disease,Is heart rate a symptom?,Is anxiety a disease?,Is heart rate a symptom of anxiety?
pneumonia,inflammation,disease-symptom,Is pneumonia a disease?,Is inflammation a symptom?,Is inflammation a symptom of pneumonia?
medication,high blood pressure,drug-disease,Is medication a drug?,Is high blood pressure a disease?,Is medication used to treat high blood pressure?
worms,itchy anus,disease-symptom,Is worms a disease?,Is itchy anus a symptom?,Is itchy anus a symptom of worms?
diarrhea,undigested food,disease-symptom,Is diarrhea a disease?,Is undigested food a symptom?,Is undigested food a symptom of diarrhea?
tendonapathy,pain,disease-symptom,Is tendonapathy a disease?,Is pain a symptom?,Is pain a symptom of tendonapathy?
salicylic acid,foot wart,drug-disease,Is salicylic acid a drug?,Is foot wart a disease?,Is salicylic acid used to treat foot wart?
HPV foot wart,pain,disease-symptom,Is HPV foot wart a disease?,Is pain a symptom?,Is pain a symptom of HPV foot wart?
Sudden hearing loss,vertigo,disease-symptom,Is Sudden hearing loss a disease?,Is vertigo a symptom?,Is vertigo a symptom of Sudden hearing loss?
Sudden hearing loss,ache,disease-symptom,Is Sudden hearing loss a disease?,Is ache a symptom?,Is ache a symptom of Sudden hearing loss?
vertigo,Sudden hearing loss,symptom-disease,Is vertigo a symptom?,Is Sudden hearing loss a disease?,Is vertigo a symptom of Sudden hearing loss?
antibiotics,UTI,drug-disease,Is antibiotics a drug?,Is UTI a disease?,Is antibiotics used to treat UTI?
hyperthyroidism,vocal problems,disease-symptom,Is hyperthyroidism a disease?,Is vocal problems a symptom?,Is vocal problems a symptom of hyperthyroidism?
Flagyl,appendicitis,drug-disease,Is Flagyl a drug?,Is appendicitis a disease?,Is Flagyl used to treat appendicitis?
co-ciprofloxacin,appendicitis,drug-disease,Is co-ciprofloxacin a drug?,Is appendicitis a disease?,Is co-ciprofloxacin used to treat appendicitis?
appendicitis,abdominal discomfort,disease-symptom,Is appendicitis a disease?,Is abdominal discomfort a symptom?,Is abdominal discomfort a symptom of appendicitis?
appendicitis,fever,disease-symptom,Is appendicitis a disease?,Is fever a symptom?,Is fever a symptom of appendicitis?
abdominal discomfort,appendicitis,symptom-disease,Is abdominal discomfort a symptom?,Is appendicitis a disease?,Is abdominal discomfort a symptom of appendicitis?
fever,appendicitis,symptom-disease,Is fever a symptom?,Is appendicitis a disease?,Is fever a symptom of appendicitis?
Hematoma,swelling,disease-symptom,Is Hematoma a disease?,Is swelling a symptom?,Is swelling a symptom of Hematoma?
Hematoma,pain,disease-symptom,Is Hematoma a disease?,Is pain a symptom?,Is pain a symptom of Hematoma?
Hematoma,burning,disease-symptom,Is Hematoma a disease?,Is burning a symptom?,Is burning a symptom of Hematoma?
COVID vaccine,COVID,drug-disease,Is COVID vaccine a drug?,Is COVID a disease?,Is COVID vaccine used to treat COVID?
allergic reaction,shallow breath,disease-symptom,Is allergic reaction a disease?,Is shallow breath a symptom?,Is shallow breath a symptom of allergic reaction?
allergic reaction,throat closing,disease-symptom,Is allergic reaction a disease?,Is throat closing a symptom?,Is throat closing a symptom of allergic reaction?
allergic reaction,nose tingling,disease-symptom,Is allergic reaction a disease?,Is nose tingling a symptom?,Is nose tingling a symptom of allergic reaction?
shallow breath,allergic reaction,symptom-disease,Is shallow breath a symptom?,Is allergic reaction a disease?,Is shallow breath a symptom of allergic reaction?
throat closing,allergic reaction,symptom-disease,Is throat closing a symptom?,Is allergic reaction a disease?,Is throat closing a symptom of allergic reaction?
nose tingling,allergic reaction,symptom-disease,Is nose tingling a symptom?,Is allergic reaction a disease?,Is nose tingling a symptom of allergic reaction?
antifungal cream,rash,drug-disease,Is antifungal cream a drug?,Is rash a disease?,Is antifungal cream used to treat rash?
rash,flake of skin,disease-symptom,Is rash a disease?,Is flake of skin a symptom?,Is flake of skin a symptom of rash?
motion sickness,nausea,disease-symptom,Is motion sickness a disease?,Is nausea a symptom?,Is nausea a symptom of motion sickness?
general anxiety,nausea,disease-symptom,Is general anxiety a disease?,Is nausea a symptom?,Is nausea a symptom of general anxiety?
lexapro,insomnia,drug-disease,Is lexapro a drug?,Is insomnia a disease?,Is lexapro used to treat insomnia?
amoxicillin,strep,drug-disease,Is amoxicillin a drug?,Is strep a disease?,Is amoxicillin used to treat strep?
strep,fever,disease-symptom,Is strep a disease?,Is fever a symptom?,Is fever a symptom of strep?
fever,strep,symptom-disease,Is fever a symptom?,Is strep a disease?,Is fever a symptom of strep?
medication,chlamydia,drug-disease,Is medication a drug?,Is chlamydia a disease?,Is medication used to treat chlamydia?
antidepressants,depression,drug-disease,Is antidepressants a drug?,Is depression a disease?,Is antidepressants used to treat depression?
gastroparesis,regurgitate stomach,disease-symptom,Is gastroparesis a disease?,Is regurgitate stomach a symptom?,Is regurgitate stomach a symptom of gastroparesis?
gastroparesis,I burp,disease-symptom,Is gastroparesis a disease?,Is I burp a symptom?,Is I burp a symptom of gastroparesis?
sertraline,gastroparesis,drug-disease,Is sertraline a drug?,Is gastroparesis a disease?,Is sertraline used to treat gastroparesis?
Cyst/lump,painful,disease-symptom,Is Cyst/lump a disease?,Is painful a symptom?,Is painful a symptom of Cyst/lump?
Anoxic brain injury,brain damage,disease-symptom,Is Anoxic brain injury a disease?,Is brain damage a symptom?,Is brain damage a symptom of Anoxic brain injury?
pantoprazole,acid reflux,drug-disease,Is pantoprazole a drug?,Is acid reflux a disease?,Is pantoprazole used to treat acid reflux?
hyponatremia,headache,disease-symptom,Is hyponatremia a disease?,Is headache a symptom?,Is headache a symptom of hyponatremia?
multiple sclerosis,optic neuritis,disease-symptom,Is multiple sclerosis a disease?,Is optic neuritis a symptom?,Is optic neuritis a symptom of multiple sclerosis?
multiple sclerosis,muscle weakness,disease-symptom,Is multiple sclerosis a disease?,Is muscle weakness a symptom?,Is muscle weakness a symptom of multiple sclerosis?
multiple sclerosis,gait abnormalities,disease-symptom,Is multiple sclerosis a disease?,Is gait abnormalities a symptom?,Is gait abnormalities a symptom of multiple sclerosis?
optic neuritis,multiple sclerosis,symptom-disease,Is optic neuritis a symptom?,Is multiple sclerosis a disease?,Is optic neuritis a symptom of multiple sclerosis?
muscle weakness,multiple sclerosis,symptom-disease,Is muscle weakness a symptom?,Is multiple sclerosis a disease?,Is muscle weakness a symptom of multiple sclerosis?
gait abnormalities,multiple sclerosis,symptom-disease,Is gait abnormalities a symptom?,Is multiple sclerosis a disease?,Is gait abnormalities a symptom of multiple sclerosis?
carbamazepine,trigeminal neuralgia,drug-disease,Is carbamazepine a drug?,Is trigeminal neuralgia a disease?,Is carbamazepine used to treat trigeminal neuralgia?
trigeminal neuralgia,extreme pain,disease-symptom,Is trigeminal neuralgia a disease?,Is extreme pain a symptom?,Is extreme pain a symptom of trigeminal neuralgia?
trigeminal neuralgia,sharp pains in my face,disease-symptom,Is trigeminal neuralgia a disease?,Is sharp pains in my face a symptom?,Is sharp pains in my face a symptom of trigeminal neuralgia?
panic attack,chest pains,disease-symptom,Is panic attack a disease?,Is chest pains a symptom?,Is chest pains a symptom of panic attack?
panic attack,tightness,disease-symptom,Is panic attack a disease?,Is tightness a symptom?,Is tightness a symptom of panic attack?
Topamax,migraine,drug-disease,Is Topamax a drug?,Is migraine a disease?,Is Topamax used to treat migraine?
epileptic seizure,muscles,disease-symptom,Is epileptic seizure a disease?,Is muscles a symptom?,Is muscles a symptom of epileptic seizure?
migraine,nausea,disease-symptom,Is migraine a disease?,Is nausea a symptom?,Is nausea a symptom of migraine?
prozac,mood swings,drug-disease,Is prozac a drug?,Is mood swings a disease?,Is prozac used to treat mood swings?
Metronidazole,ANUG,drug-disease,Is Metronidazole a drug?,Is ANUG a disease?,Is Metronidazole used to treat ANUG?
Difflam,ANUG,drug-disease,Is Difflam a drug?,Is ANUG a disease?,Is Difflam used to treat ANUG?
ANUG,gum pain,disease-symptom,Is ANUG a disease?,Is gum pain a symptom?,Is gum pain a symptom of ANUG?
pain,ANUG,symptom-disease,Is pain a symptom?,Is ANUG a disease?,Is pain a symptom of ANUG?
Irregular periods,very light spotting,disease-symptom,Is Irregular periods a disease?,Is very light spotting a symptom?,Is very light spotting a symptom of Irregular periods?
venlafaxine,depression,drug-disease,Is venlafaxine a drug?,Is depression a disease?,Is venlafaxine used to treat depression?
venlafaxine,anxiety,drug-disease,Is venlafaxine a drug?,Is anxiety a disease?,Is venlafaxine used to treat anxiety?
Bells Palsy,tingling,disease-symptom,Is Bells Palsy a disease?,Is tingling a symptom?,Is tingling a symptom of Bells Palsy?
Menieres,ear,disease-symptom,Is Menieres a disease?,Is ear a symptom?,Is ear a symptom of Menieres?
steroids,Bells Palsy,drug-disease,Is steroids a drug?,Is Bells Palsy a disease?,Is steroids used to treat Bells Palsy?
COVID,aches,disease-symptom,Is COVID a disease?,Is aches a symptom?,Is aches a symptom of COVID?
COVID,fatigue,disease-symptom,Is COVID a disease?,Is fatigue a symptom?,Is fatigue a symptom of COVID?
COVID,weakness,disease-symptom,Is COVID a disease?,Is weakness a symptom?,Is weakness a symptom of COVID?
COVID,sore throat,disease-symptom,Is COVID a disease?,Is sore throat a symptom?,Is sore throat a symptom of COVID?
COVID,chest congestion,disease-symptom,Is COVID a disease?,Is chest congestion a symptom?,Is chest congestion a symptom of COVID?
Herpes,sores,disease-symptom,Is Herpes a disease?,Is sores a symptom?,Is sores a symptom of Herpes?
post-viral cough,lingering cough,disease-symptom,Is post-viral cough a disease?,Is lingering cough a symptom?,Is lingering cough a symptom of post-viral cough?
montelukast,post-viral cough,drug-disease,Is montelukast a drug?,Is post-viral cough a disease?,Is montelukast used to treat post-viral cough?
cough,post-viral cough,symptom-disease,Is cough a symptom?,Is post-viral cough a disease?,Is cough a symptom of post-viral cough?
