Unnamed: 0,id,question,options,correct_answer,correct_index,labels,matched_categories
741,4954,Ehrlichia phagocytophila mainly affects -,"{'0': 'RBC', '1': 'Platelets', '2': 'Neutrophils', '3': 'Macrophages'}",Neutrophils,2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
742,4955,"Which of the following circumstances, lead to genetic disorders galactosemia (galactosemia) of?","{'0': 'Lack fructokinase', '1': '缺少 UDP-glucose:galactose 1-phosphate uridylyltransferase', '2': 'Can not break down lactose', '3': 'Excessive intake of galactose'}",缺少 UDP-glucose:galactose 1-phosphate uridylyltransferase,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
743,4959,"A 31-year-old woman presents to your clinic with a persistent headache. She reports she has suffered from headaches since the age of 27 when she gained 12 kg (26.4 lb) after the birth of her second child. The headache is generalized and throbbing in nature. It worsens in the morning and is aggravated with coughing, laughing, and sneezing. The patient’s blood pressure is 130/85 mm Hg, heart rate is 90/min, respiratory rate is 14/min, and the temperature is 36.6℃ (97.9℉). The patient’s weight is 101 kg (222.7 lb), height is 165 cm (5.4 ft), and BMI is 36.7 kg/m2. Examination reveals papilledema. Head CT scan does not reveal any abnormalities. Lumbar puncture shows an opening pressure of 32 cm H2O. The patient is prescribed a carbonic anhydrase inhibitor, acetazolamide, for idiopathic intracranial hypertension. What will be the change in the kinetics of the reaction catalyzed by carbonic anhydrase under the influence of acetazolamide?","{'0': 'Activation energy (Ea) will increase', '1': 'Activation energy (Ea) will decrease', '2': 'Free energy (G) of the reactants will increase', '3': 'Increase reaction free energy change (∆G) by increasing free energy (G) of reactants and decreasing G of products'}",Activation energy (Ea) will increase,0,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
744,4960,Constant presence of a disease or infectious agent at high incidence/prevalence and affects all age groups equally?,"{'0': 'Hyper-endemic', '1': 'Holo-endemic', '2': 'Epidemic', '3': 'Pandemic'}",Hyper-endemic,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
745,4962,"Question linked to the image nº14 An 83-year-old man went to the emergency room for asthenia, malaise and diarrhea. History of hypertension, diabetic with chronic kidney disease (EFG 32 mL / min) and heart failure (FE 30%). In treatment with digoxin, nebivolol, furosemide, allopurinol, spironolactone, enalapril, atorvastatin and sitagliptin. On examination, there are signs of mucosal dehydration. PA 90/44 mm / Hg, FC 67 bpm. Analysis: Hb 10.8 g / dL, glucose 156 mg / dL, urea 125 mg / dL, creatinine 3.25 mg / dL, K 7.5 mEq / L, Na 138 mEq / L, pH 7.31, bicarbonate 16 mmol / L. The following ECG is performed. What is the first measure to establish in this patient?","{'0': 'Administer 10% calcium gluconate iv.', '1': 'Correct metabolic acidosis with bicarbonate iv.', '2': 'Withdrawal of drugs and add ion exchange resins.', '3': 'Hemodialysis.'}",Administer 10% calcium gluconate iv.,0,"['male', 'senior (65+)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
746,4969,In which of the following types of anemia can alterations of the nervous system related to demyelination processes be observed ?:,"{'0': 'Iron-deficiency anemia.', '1': 'Hemolytic anemia.', '2': 'Anemia due to folic acid deficiency.', '3': 'Anemia due to vitamin B12 deficiency.'}",Anemia due to vitamin B12 deficiency.,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
747,4981,"The following botulinum toxin to treat muscle spasms related to cerebral palsy narrative, what's wrong?","{'0': 'Have a permanent effect', '1': 'Belonging to the localized treatment', '2': 'Acting on the nerve endings inhibit the release of acetylcholine (acetylcholine) of', '3': 'Belong intramuscular'}",Have a permanent effect,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
748,4986,"A doctor who performed the autopsy on a 26-year-old married woman, committing suicide found the cause of death to be aluminium phosphide poisoning. She was summoned in a cou of law where he willingly hides this information. This is punishable under which section?","{'0': 'IPC 193', '1': 'CrPC 175', '2': 'CrPC 69', '3': 'IPC 189'}",IPC 193,0,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctoral', 'N/A', 'N/A', 'married', 'lawyer', 'N/A', 'N/A']",5
749,4995,"A 39-year-old woman presents to the emergency department with a chief concern of abdominal pain. She states that her symptoms occurred shortly after she began eating dinner that evening. She states that the pain is in the right side of her abdomen and travels to her right shoulder. She has a past medical history of polycystic ovarian syndrome, obesity, type II diabetes mellitus, and hypertension. Her current medications include metformin, insulin, atorvastatin, aspirin, and lisinopril. Her temperature is 99.5°F (37.5°C), blood pressure is 110/75 mmHg, pulse is 90/min, respirations are 13/min, and oxygen saturation is 99% on room air. On abdominal exam, the patient demonstrates tenderness in the right upper quadrant. The patient is started on IV fluids and morphine. Four hours later, she states that the pain has abated. Which of the following is associated with this patient's most likely diagnosis?","{'0': 'Acetylcholine', '1': 'Cholecystokinin', '2': 'Gastrin', '3': 'Secretin'}",Cholecystokinin,1,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
750,5012,"An 80-year-old woman enters the hospital for the study of anemia after being taken by her children to the emergency room due to rectal bleeding and physical decay. Clinically it is stable. She is diagnosed with cognitive impairment, with frequently incoherent ideation and judgment and behavioral alterations, for which she takes risperidone. Malignant neoplasm of the colon is suspected and a colonoscopy is proposed. You verify that the patient is incapable of understanding adequately what is explained about such a test, its nature, objectives, possible complications, or its diagnostic and eventually therapeutic consequences. In that case:","{'0': 'He is relieved of presenting an informed consent to the patient, and his criterion as a doctor is considered sufficient for the colonoscopy to be performed.', '1': 'It requests the appearance of the Judge so that it authorizes the test, before the intellectual incapacity of the patient to decide conveniently by itself.', '2': 'Because they do not have the capacity to decide, their families must do so, and their written acceptance must be recorded on the informed consent form.', '3': 'An agreement between the doctor and the relatives of the patient based on verbal informed consent for the colonoscopy is legally acceptable.'}","Because they do not have the capacity to decide, their families must do so, and their written acceptance must be recorded on the informed consent form.",2,"['female', 'senior (65+)', 'has disability', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'single-family home']",4
751,5013,"When a large intravenous doses of short-acting insulin preparations cause low blood sugar, which of the following best condition does not cause blood sugar to rise delay phenomenon?","{'0': 'Adrenal hypoplasia', '1': 'L glucagon (glucagon of) the lack of secretion', '2': 'Hypothyroidism', '3': 'Parathyroid hormone secretion'}",Parathyroid hormone secretion,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
752,5017,Sodium bicarbonate when given with local anaesthetics has which of the following effect?,"{'0': 'Increases speed and quality of anaesthesia', '1': 'Decreases diffusion of the anaesthetic drug', '2': 'Causes rapid elimination of the Local anesthetic', '3': 'Decreases speed and quality of anaesthesia'}",Increases speed and quality of anaesthesia,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
753,5025,"Cell membrane of a cell is freely permeable to three ions X, Y and Z. At resting membrane potential, the respective equilibrium potentials of Xand Y are -30mV and -40 mV.What will happen to the membrane potential if a drug is infused which can block the permeability of Z?","{'0': 'Depolarisation', '1': 'Hyperpolarization', '2': 'No change', '3': 'Hyperpolarization following repolarization'}",Depolarisation,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
754,5029,Vitamin deficiency associated with cystic fibrosis is,"{'0': 'K', '1': 'B6', '2': 'C', '3': 'B12'}",B12,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
755,5030,"A 75-year-old man with coronary artery disease and mitral valve stenosis status-post coronary artery bypass graft and mitral bioprosthetic valve replacement is evaluated in the intensive care unit. His postsurgical course was complicated by ventilator-associated pneumonia and bilateral postoperative pleural effusions requiring chest tubes. He has been weaned from the ventilator and has had his chest tubes removed but has required frequent suctioning to minimize aspirations. He has been dependent on a percutaneous gastrostomy tube for enteral nutrition for the past four weeks. He is currently on aspirin, carvedilol, atorvastatin, ceftazidime, and pantoprazole. He has a history of prostate cancer status post radical prostatectomy. His temperature is 96°F (35.6°C), blood pressure is 95/55 mmHg, pulse is 50/min, and respirations are 20/min. On physical exam, he is not alert and oriented but responds with moans when stimulated. His laboratory data are listed below:

Serum:
Na+: 145 mEq/L
Cl-: 110 mEq/L
K+: 3.4 mEq/L
HCO3-: 26 mEq/L
BUN: 10 mg/dL
Glucose: 112 mg/dL
Creatinine: 1.4 mg/dL
Thyroid-stimulating hormone: 10 µU/mL
Ca2+: 11.1 mg/dL
PO4-: 1.0 mg/dL
AST: 6 U/L
ALT: 10 U/L
Albumin: 2.5 mg/dL
Lactate dehydrogenase: 200 U/L (140-280 U/L)
Haptoglobin: 150 mg/dL (30-200 mg/dL)
1,25-(OH)2 D3: 10 pg/mL (15-75 pg/mL)
Parathyroid hormone: 9 pg/mL (10-60 pg/mL)

Leukocyte count: 10,000 cells/mm^3 with normal differential
Hemoglobin: 9 g/dL
Hematocrit: 30 %
Platelet count: 165,000 /mm^3

His electrocardiogram and chest radiograph are shown in Figures A and B. What is the most likely cause of his hypercalcemia?","{'0': 'Euthyroid sick syndrome', '1': 'Immobilization', '2': 'Malignancy', '3': 'Primary hyperparathyroidism'}",Immobilization,1,"['male', 'senior (65+)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'scientist', 'N/A', 'apartment']",4
756,5041,A surgeon decides to operate a patient under epidural anesthesia. 3% Xylocaine with adrenaline is used for administering epidural anesthesia. The patient suddenly develops hypotension after 3 minutes of administration. What is the most likely cause for this?,"{'0': 'Systemic absorption of the drug', '1': 'Vasovagal effect', '2': 'Allergy to the drug preparation', '3': 'Penetration into the subarachnoid space'}",Penetration into the subarachnoid space,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",1
757,5046,Sympathomimetic drug which causes decrease in hea rate ?,"{'0': 'Adrenaline', '1': 'Isoprenaline', '2': 'Noradrenaline', '3': 'None'}",Noradrenaline,2,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
758,5055,Which of the following is not an adverse effect of cyclophosphamide?,"{'0': 'Hemorrhagic cystitis', '1': 'Infeility', '2': 'Bone marrow suppression', '3': 'Diabetes insipidus'}",Diabetes insipidus,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
759,5059,"A 55-year-old man comes to the emergency department because of headache, fever, chills, shortness of breath, and abdominal pain for 1 week. He also feels tired and nauseous. He returned from a trip to Botswana 2 weeks ago. He has type 2 diabetes mellitus. He has smoked one pack of cigarettes daily for the past 30 years and drinks a glass of beer daily. His only current medication is metformin. His temperature is 39.3°C (102.8°F), pulse is 122/min, respirations are 28/min, and blood pressure is 109/84 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 94%. Examination shows jaundice. A few scattered inspiratory crackles are heard in the thorax. The liver is palpated 2 cm below the right costal margin. Laboratory studies show:
Hemoglobin 9.2 g/dL
Leukocyte count 9,400/mm3
Platelet count 90,000/mm3
Serum
Na+ 137 mEq/L
Cl- 102 mEq/L
K+ 5.2 mEq/L
HCO3- 13 mEq/L
Glucose 69 mg/dL
Lactate dehydrogenase 360 U/L
Creatinine 0.9 mg/dL
Bilirubin
_ Total 4.2 mg/dL
_ Direct 0.8 mg/dL
AST 79 U/L
ALT 90 U/L
Urine
Blood 3+
Protein trace
RBC 0–1/hpf
WBC 1–2/hpf
Arterial blood gas analysis on room air shows a pH of 7.31. Which of the following is the most appropriate next step in management?""","{'0': 'Coombs test', '1': 'Blood culture', '2': 'Blood smear', '3': 'Serology'}",Blood smear,2,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'scientist', 'N/A', 'N/A']",3
760,5063,"A 4-month-old boy is brought to the physician because of noisy breathing for 2 months that has progressively become louder. The noisy breathing improves when he is in the prone position. It is worse when he is agitated, feeding, or lying on his back. He was born at term and has been healthy since. His temperature is 37.1°C (98.8°F), pulse is 120/min, and respirations are 50/min. Pulse oximetry on room air shows an oxygen saturation of 98%. Examination shows inspiratory stridor. Which of the following is the most appropriate treatment?","{'0': 'Observation', '1': 'Surgical division', '2': 'Ceftriaxone therapy', '3': 'Supraglottoplasty'}",Observation,0,"['male', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",2
761,5065,What is the capacity of a substance to cause dependence in those who consume it ?:,"{'0': 'Addictive potential of a drug.', '1': 'Psychological dependence', '2': 'Physical dependence', '3': 'Dependence syndrome'}",Addictive potential of a drug.,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
762,5066,"A 22-year-old woman presents to her primary care physician because she has been having severe pruritus on her left leg. She says the symptoms started 1 week ago after she went on a hiking trip with her friends. She wore shorts during the hike and felt as if something brushed her skin on the front of her leg just below the knee. She has no past medical history and no family history of autoimmune diseases. On physical exam, she has red pruritic papules and vesicles on her left leg. Which of the following mechanisms was most likely involved in the development of this patient's symptoms?","{'0': 'Activation of cell surface receptors by antibodies', '1': 'Cross-linking of IgE antibodies', '2': 'Cytotoxicity due to T-cells', '3': 'Immune complex deposition'}",Cytotoxicity due to T-cells,2,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'single-family home']",4
763,5073,"A previously healthy 27-year-old woman comes to the physician because of a 2-month history of depressed mood and fatigue. During this time, she has had a 5-kg (11-lb) weight gain. She reports trouble concentrating at her job as a preschool teacher and has missed work several times in recent weeks due to generalized fatigue. She has smoked 2 packs of cigarettes daily for 10 years and is actively trying to quit smoking. A drug is prescribed that will treat the patient's mood disturbance and support smoking cessation. This patient should be counseled about which of the following possible side effects of this drug?","{'0': 'Hypotension', '1': 'Urinary retention', '2': 'Tachycardia', '3': 'QTc prolongation'}",Tachycardia,2,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
764,5075,"Following those related to anesthesia monitor venous air embolism (venous air embolism) detection of sensitivity (sensitivity), the order from highest to lowest why?","{'0': '①②③④', '1': '②①③④', '2': '②③①④', '3': '④②①③'}",④②①③,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
765,5084,"40-year-old woman who consults for anemia. In the analytical highlights Hb 10.5 g / dL, iron deficiency, macrocytosis and hypergastrinemia. He has a history of lupus arthropathy and Graves Basedow's disease. It is being treated with prednisone 15 mg / d, colchicine 0.5 mg every 12 h and methimazole 10 mg / d. What do you consider the most likely cause of anemia?","{'0': 'Hematic losses in relation to steroid treatment.', '1': 'Medullary hypoplasia 2º to colchicine.', '2': 'Hemolysis secondary to taking methimazole.', '3': 'Type A gastritis'}",Medullary hypoplasia 2º to colchicine.,1,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
766,5087,"What will happen, when a stone cast is kept above 90°C:","{'0': 'Contraction due to conversion of dihydrate to hemihydrate', '1': 'Disintegration into pieces', '2': 'Expansion due to conversion of ∝ hemihydrate into βhemihydrate', '3': 'no effect'}",Contraction due to conversion of dihydrate to hemihydrate,0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
767,5088,"A one year old child, who is earlier normal, is suffering from copious nasal discharge, coarse facial features, large tongue, bulging head and flattened nose. He is also having enlarged spleen and liver. What may be the cause?","{'0': 'Hypothyroidism', '1': 'Beckwith widman syndrome', '2': 'Proteus syndrome', '3': 'Hurler syndrome'}",Hurler syndrome,3,"['male', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",1
768,5109,"A 45-year-old man presents to the outpatient unit with a complaint of lower extremity edema for the past few weeks. He has also been observing puffiness of the face lately. The urinalysis shows 4+ proteinuria. The serum creatinine is 3.5 mg/dL, and antinuclear antibodies are absent. The biopsy findings are given in the picture. What is the most likely cause of the following findings?","{'0': 'Membranoproliferative glomerulonephritis', '1': 'Rapidly progressive glomerlonephritis', '2': 'Postinfectious glomerulonephritis', '3': 'Membranous glomerulonephritis'}",Membranous glomerulonephritis,3,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'apartment']",3
769,5125,"A 63-year-old patient presents to the emergency department because of severe left leg pain and tingling. His condition started suddenly 30 minutes ago. He has had hypertension for the past 10 years for which he takes bisoprolol. He does not smoke or drink alcohol. His temperature is 37.1°C (98.7°F), the blood pressure is 130/80 mm Hg, and the pulse is 100/min and irregular. On physical examination, the patient appears in severe pain and his left leg is pale and cool. The popliteal pulse is weaker on the left side compared to the right side. Which of the following is the most common cause of this patient's condition?","{'0': 'Vasculitis', '1': 'Hyperhomocysteinemia', '2': 'Arterial emboli', '3': 'Arterial trauma'}",Arterial emboli,2,"['male', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
770,5137,A pregnant lady had no complaints but mild cervical lymphadenopathy in first trimester. She was prescribed spiramycin but she was noncompliant. Baby was born with hydrocephalus and intracerebral calcification. Which of these is likely cause ?,"{'0': 'Rubella', '1': 'Toxoplasmosis', '2': 'CMV', '3': 'Herpes'}",Toxoplasmosis,1,"['female', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",1
771,5157,A 44-year-old African-American woman comes to the physician for a routine examination. She is concerned about cancer because her uncle died of metastatic melanoma 1 year ago. She has no history of serious illness and does not take any medication. She has been working in a law firm for the past 20 years and travels to the Carribean regularly with her husband. Examination of her skin shows no abnormal moles or warts. This woman is at greatest risk of which of the following types of melanoma?,"{'0': 'Desmoplastic', '1': 'Nodular', '2': 'Acral lentiginous', '3': 'Superficial spreading'}",Acral lentiginous,2,"['female', 'adult (18-64)', 'N/A', 'African', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'lawyer', 'N/A', 'N/A']",4
772,5166,Which of the following is least likely to cause loss of sense of smell?,"{'0': 'Septal deviation', '1': 'Nasopharyngeal cyst', '2': 'Frontal lobe tumor', '3': 'Viral infection'}",Nasopharyngeal cyst,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
773,5170,"Leptin (Leptin) will suppress appetite, so that the weight is maintained constant, because it promotes what these conductive materials, thereby inhibiting the feeding center due to?","{'0': 'a-melanocyte stimulating hormone (a-MSH)', '1': 'neuropeptide Y (NPY)', '2': 'orexin', '3': 'agouti-related peptide（AgRP）'}",a-melanocyte stimulating hormone (a-MSH),0,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
774,5173,"52-year-old housewife, complained of joint pain hands refers to the end of 1 year, after work often use hand pain got worse after the break will improve, physical examination found that the finger distal interphalangeal joint (distal interphalangeal joints) Jie nodules, with pressure pain, patients most likely to suffer from this disease why?","{'0': 'Degenerative arthritis', '1': 'Rheumatoid arthritis', '2': 'Crystal deposition arthritis initiator', '3': 'Infectious arthritis'}",Degenerative arthritis,0,"['N/A', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",1
775,5174,What is the most common cause of lactose intolerance ?:,"{'0': ""Allergy to proteins of cow's milk."", '1': 'Impossibility to cleave lactose in glucose and galactose.', '2': 'Inability to metabolize galactose.', '3': 'Defects in glucose receptors in the enterocyte membrane.'}",Impossibility to cleave lactose in glucose and galactose.,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
776,5182,A 28-year-old woman is admitted to the hospital for treatment of a displaced fracture of the femoral neck following a high-speed motor vehicle collision. She is given pentazocine for pain relief. This drug binds to heptahelical transmembrane receptors. Which of the following is the most likely effect of this drug?,"{'0': 'Release of presynaptic acetylcholine', '1': 'Release of presynaptic norepinephrine', '2': 'Opening of postsynaptic Na+ channels', '3': 'Opening of postsynaptic K+ channels'}",Opening of postsynaptic K+ channels,3,"['female', 'adult (18-64)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
777,5186,"A 70-year-old man comes to the emergency department after briefly losing consciousness and collapsing when rising from a chair. He did not sustain any injuries from his collapse. He has had a two-week history of dizziness upon standing. He has smoked one pack of cigarettes daily for 55 years. He drinks three beers and two glasses of whiskey daily. He currently takes dutasteride and tamsulosin for benign prostatic hyperplasia. His blood pressure is 120/80 mm Hg supine and 100/70 mm Hg one minute after standing with no change in pulse rate. Physical examination shows conjunctival pallor. On cardiac auscultation, there is a plopping sound followed by a low-pitched, rumbling mid-diastolic murmur heard best at the apex. Which of the following is the most likely cause of this patient's presentation?","{'0': 'Stokes-Adams attack', '1': 'Constricted aortic valve orifice', '2': 'Cardiac tumor', '3': 'Left ventricular dilation'}",Cardiac tumor,2,"['male', 'senior (65+)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",2
778,5197,Delayed neuronal migration and organization leads to ceain disorders. Which of the following is the least likely possibility?,"{'0': 'Lissencephaly', '1': 'Schizencephaly', '2': 'Polymicrogyria', '3': 'Focal coical dyplasia without balloon cells'}",Focal coical dyplasia without balloon cells,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
779,5198,"30
 Bearing on the problem, check the most likely outcome of the merger deformity why?
","{'0': 'Down syndrome', '1': 'Turner syndrome', '2': 'Patau syndrome', '3': 'open spina bifida'}",open spina bifida,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
780,5205,"What are the aptitudes related to the external world, which R.J. Sternberg proposes in his Triárquica Theory of Intelligence ?:","{'0': 'The ability to handle novelty and automate processes.', '1': 'The execution components, aimed at executing the relationship with the external world.', '2': 'The components of knowledge acquisition that are learned in contact with the external world.', '3': 'The ability to adapt, modify and select the environment.'}","The ability to adapt, modify and select the environment.",3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
781,5206,"A 7-year-old boy is brought to the physician by his mother because of low-grade fevers and a cough lasting for 2 weeks. He has vomited several times after fits of coughing. He has no history of serious illness and has not received any routine childhood vaccinations. His temperature is 38.3°C (101°F). Physical examination shows erythema of the nasal and oral mucosa. While in the exam room, he has a long series of consecutive coughs, during which he appears diaphoretic. The coughing is followed by a loud inspiratory gasp. Laboratory studies show a leukocyte count of 16,300/mm3 (67% lymphocytes). The pathogen most likely responsible for this patient's presentation contains a toxin that acts by which of the following mechanisms?","{'0': 'Increases intracellular cAMP', '1': 'Increases intracellular cGMP', '2': 'Inactivates host elongation factor', '3': 'Inactivates host 60S ribosome'}",Increases intracellular cAMP,0,"['male', 'young (<18)', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'doctor', 'N/A', 'N/A']",3
782,5210,"Antidiuretic hormone (anti-diuretic hormone) syndrome of inappropriate secretion (SIADH), which will result in the following electrolyte abnormalities?","{'0': 'High 鈉血 disease', '1': 'Low 鈉血 disease', '2': 'Hyperkalemia', '3': 'Hypokalemia'}",Low 鈉血 disease,1,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
783,5221,Which of the following cause an increase in ACh release from the presynaptic neuron?,"{'0': 'Blocking calcium channels on presynaptic', '1': 'Blocking chloride channel on presynaptic', '2': 'Blocking Na channel', '3': 'Blocking K channels'}",Blocking K channels,3,"['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']",0
